english,translate
Kept Arina's Health above 80%%,Здоровье Арины удержано выше 80%%
Kept Istari the Inexorable from Awakening Your Allies,Не дали Истари Неумолимой пробудить ваших союзников
Kept Mai from Being Interrupted by Jade Guard Mechs,Не дали механам Нефритовой стражи прервать Май
Kept Peitha's Health above 80%%,Здоровье Пейты удержано выше 80%%
Kept Rising Bloom Alive,Восходящий Цвет остался жив
Kept Rising Bloom's Health above 90 Percent,Здоровье Восходящего Цвета удержано выше 90 процентов
Kept Skritt from Looting Zephyrite Supplies,Не дали скриттам разграбить припасы зефиритов
Kept the Dolyaks Alive,Дольяки остались живы
Kept the Jade Brotherhood and Speaker Allies Alive,Нефритовое братство и союзники-Глашатаи остались живы
Kestrel Warrior,Воин Пустельг
"Kestrels, charge!","Пустельги, в атаку!"
"Kestrels, engage!","Пустельги, вступить в бой!"
"Kestrels, fire!","Пустельги, огонь!"
"Kestrels, forward!","Пустельги, вперёд!"
Kettil,Кеттиль
Kevach's Strongroom,Хранилище Кевача
Key Held,Ключ удерживается
Keysal,Кейсал
Khrigar Ripjaw,Хригар Рвиклык
Kick at your foe and knock them directly away from you.,"Ударьте врага ногой, отбрасывая его прямо от себя."
Kick the wall,Ударить в стену
Kick them in the head! Get us out!,Ударь их в голову! Вытащи нас отсюда!
Kicks and Punches,Удары ногами и кулаками
Kikka,Кикка
Kill %num1% Player[s] in WvW,Убейте %num1% [игрока|игрока|игроков] в WvW
Kill %num2% Aberrant.,Убейте %num2% аберрантов.
Kill %num2% Crystal Desert predators.,Убейте %num2% хищников Кристальной пустыни.
Kill %num2% Fallen.,Убейте %num2% падших.
Kill %num2% Kryptis in Amnytas.,Убейте %num2% криптисов в Амнитасе.
Kill %num2% Purists in New Kaineng City.,Убейте %num2% пуристов в Новом Кайненге.
Kill %num2% Sons of Svanir.,Убейте %num2% Сынов Сванира.
Kill %num2% Unchained Risen in New Kaineng City.,Убейте %num2% раскованных восставших в Новом Кайненге.
Kill %num2% ambient creatures.,Убейте %num2% местных существ.
Kill %num2% bandits.,Убейте %num2% бандитов.
Kill %num2% bats.,Убейте %num2% летучих мышей.
Kill %num2% centaurs.,Убейте %num2% кентавров.
Kill %num2% champion chak.,Убейте %num2% чемпионов-чаков.
Kill %num2% champions of the krait.,Убейте %num2% чемпионов крайтов.
Kill %num2% crustaceans.,Убейте %num2% ракообразных.
Kill %num2% devourers.,Убейте %num2% пожирателей.
Kill %num2% different factions of Scarlet's minions anywhere in Tyria.,Убейте %num2% разных фракций прислужников Скарлет в любой точке Тирии.
Kill %num2% djinn.,Убейте %num2% джиннов.
Kill %num2% drakes.,Убейте %num2% дрейков.
Kill %num2% dredge.,Убейте %num2% дреджей.
Kill %num2% elementals.,Убейте %num2% элементалей.
Kill %num2% enemies using profession combinations with another player.,"Убейте %num2% врагов, используя комбинации профессий с другим игроком."
Kill %num2% enemy player[s] in rated arena games.,Убейте %num2% [вражеского игрока|вражеских игрока|вражеских игроков] в рейтинговых аренных играх.
Kill %num2% enemy supply caravan[s].,Убейте %num2% [вражеский караван|вражеских каравана|вражеских караванов] с припасами.
"Kill %num2% enemy[pl:""enemies""] while defending your team's capture points during rated Revenge of the Capricorn matches.","Убейте %num2% [врага|врага|врагов], защищая точки захвата своей команды в рейтинговых матчах «Месть Козерога»."
Kill %num2% ettins.,Убейте %num2% эттинов.
Kill %num2% fish.,Убейте %num2% рыб.
Kill %num2% ghosts.,Убейте %num2% призраков.
Kill %num2% giants.,Убейте %num2% великанов.
Kill %num2% grawl.,Убейте %num2% гроулов.
Kill %num2% great jungle wurm egg[s] before the larvae hatch.,"Убейте %num2% [яйцо большого джунглевого вурма|яйца большого джунглевого вурма|яиц большого джунглевого вурма], пока личинки не вылупились."
Kill %num2% griffons.,Убейте %num2% грифонов.
