english,translate
Ha-ha. Good times.,Ха-ха. Славные были времена.
Hablion has passed on his Spectral Displacement to the other pavilion champions.,Хаблион передал своё «Призрачное смещение» остальным чемпионам павильона.
Hack Finedent,Хак Тонкозуб
Hah! As if anyone would believe that. I won't fall for such preposterous lies.,Ха! Как будто кто-то в это поверит. На такую нелепую ложь я не куплюсь.
Hah! Looks like someone couldn't handle that unadulterated taste sensation.,"Ха! Похоже, кто-то не выдержал этого чистейшего вкусового впечатления."
Hah! We did it!,Ха! У нас получилось!
"Haha! Enjoy your magic show, mortals.","Ха-ха! Наслаждайтесь магическим представлением, смертные."
"Haha. Straight to the point! All right, I'm going to need 5 Deldrimor Steel Ingots, 5 Dragonite Ingots, and 1 Spiritwood Plank. Bring it all here and I'll make you the cookware.","Ха-ха. Сразу к делу! Ладно, мне понадобится 5 слитков делдримоской стали, 5 слитков драконита и 1 доска духодрева. Принеси всё сюда, и я сделаю тебе посуду."
"Hail, traveler. Today's special is straight from Hoelbrak. Like our ale, we brew the finest enchanted potions on the market!","Привет, путник. Сегодняшнее особое предложение прямиком из Хоэльбрака. Как и эль, мы варим лучшие зачарованные зелья на рынке!"
"Hail, traveler. What brings you to this area?","Привет, путник. Что привело тебя сюда?"
Hailitosis,Градоз
Hal the Hermit,Хэл Отшельник
Half its foundation underwater...this place is blasphemous!,Половина фундамента под водой... это место — кощунство!
"Halloween or not, there's work to do.","Хэллоуин там или нет, а работа не ждёт."
Halt! Advance no further!,Стой! Дальше ни шагу!
"Halt! By—Peacemaker—order, you—will—submit to—golem—search—and—seizure.","Стоять! По—приказу—Миротворцев, вы—подчинитесь—обыску—и—изъятию—големом."
Halt. Desist. You—will—be—termina— (bzzzt) Reset.,Стоять. Прекратить. Вы—будете—ликвиди— (бз-з-з) Перезапуск.
Haming,Хаминг
Hand Over Artifact,Передать артефакт
"Hand over the crystal, runt.","Отдай кристалл, недомерок."
Hand-to-hand fighting? Not so much.,Рукопашная? Не особо.
Handful[s] of Kournan Coins,[Горсть|Горсти|Горстей] курнанских монет
Hands in the Air,Руки вверх
"Hands off, butterfingers! You'll never take me down!","Руки прочь, растяпа! Тебе меня не свалить!"
"Handwritten on this page torn from a journal: ""Our survey expedition arrived here from the Priory in 1327 AE, just as the Seraph broke through from Tangle Root and the Zephyrite airship crashed.""","На этой вырванной из дневника странице от руки: «Наша исследовательская экспедиция прибыла сюда из Приората в 1327 году П.Э., как раз когда серафимы пробились из Спутанного Корня, а дирижабль зефиритов разбился»."
"Hang on, Slagvi!","Держись, Слагви!"
"Hang on, let's take a moment.","Погоди, давай передохнём."
Hang out with me and I'll show you Wolf.,"Побудь со мной, и я покажу тебе Волка."
Harald the Builder,Харальд Строитель
Harathi Earthcallers,Землезовы харати
"Harathi don't generally practice magic; they prefer the physicality of earthen technologies. Draithor, though... He craves magic in every form. He hungers for it without ever understanding it.","Харати обычно не занимаются магией; они предпочитают телесность земляных ремёсел. Но Драйтор... Он жаждет магии в любом виде. Он алчет её, так и не понимая."
Hardened Ice,Закалённый лёд
"Hardly. This is the greatest city in the world, and it's only going to get greater.","Вряд ли. Это величайший город в мире, и он станет только величественнее."
Harem Stores,Склады гарема
"Harness the resonating power you feel in the air into a powerful, directed blast.",Обратите резонирующую в воздухе силу в мощный направленный залп.
"Harpoon guns, longbows, short bows, pistols, rifles, torches, warhorns, and sigils.","Гарпунные ружья, длинные луки, короткие луки, пистолеты, винтовки, факелы, боевые рога и знаки."
Harpy Matriarchs,Матриархи гарпий
"Harr. Yer seein' things. 'Tis naught but smoke and shadows, ya coward.","Хар. Мерещится тебе. Это лишь дым да тени, трус."
Haru,Хару
Has House Ventura collected any useful data from its many field excursions?,Собрал ли Дом Вентура хоть какие-то полезные данные за все свои полевые выезды?
Has anyone seen my uncle's missing foot?,Кто-нибудь видел пропавшую ногу моего дяди?
Hasara,Хасара
Hasn't he returned already?,Разве он ещё не вернулся?
Hatchery,Инкубатор
Hatchery Envoy,Посланник инкубатора
Hatchling Grr,Птенец Грр
Hate not being in the air.,Терпеть не могу быть не в воздухе.
"Hauntings don't usually just spring up overnight. So, I'm going to poke around. Try to get a read on the situation.","Призраки обычно не заводятся за одну ночь. Так что я тут пошарю. Попробую понять, что к чему."
Have an efficient day!,Продуктивного дня!
Have fun. See you later. 'Bye!,Веселись. До встречи. Пока!
"Have it your way. But if it turns out that you're wrong about them, it's on you!","Как знаешь. Но если окажется, что ты в них ошибся, отвечать тебе!"
Have the cats been behaving themselves?,Кошки хорошо себя вели?
Have to get clear of this.,Надо отсюда выбираться.
"Have you been to Amnoon? Is it far? Wait, I don't want to know.","Ты бывал в Амнуне? Это далеко? Стой, не хочу знать."
"Have you been to Holdland Camp? It's just southwest of here, and aptly named. Those centaurs really dug themselves in, and they refuse to let go of these lands. That camp is a major threat to us.","Ты бывал в лагере Холдленд? Он к юго-западу отсюда, и назван метко. Эти кентавры прочно там окопались и не желают отдавать эти земли. Тот лагерь — серьёзная угроза для нас."
Have you been up to the tar shrines recently?,Ты бывал в последнее время у смоляных святилищ?
Have you checked the bounty boards lately? Because the contract for Grath Cragclash will go fast.,Заглядывал в последнее время на доски объявлений? Подряд на Грата Скалобоя разберут быстро.
Have you come to ask questions? Or have you come to gawk at a survivor? Disgusting. Show respect for the dead and wounded.,Ты пришёл задавать вопросы? Или поглазеть на выжившего? Отвратительно. Прояви уважение к мёртвым и раненым.
Have you come to help Scholar Wyndham?,Ты пришёл помочь учёному Уиндему?
Have you finished cataloging? No? Hurry up!,Ты закончил опись? Нет? Живее!
Have you fixed many bridges before?,Тебе доводилось чинить мосты?
Have you heard it...?,Ты это слышал?..
Have you heard that Captain's order?,Ты слышал приказ капитана?
Have you heard that icebrood attacks have increased in number and viciousness since Mordremoth's death?,"Ты слышал, что после смерти Мордремота нападения ледяного отродья участились и стали злее?"
Have you seen Faren anywhere?,Ты нигде не видел Фарена?
Have you seen my gold pocket watch?,Ты не видел мои золотые карманные часы?
"Havens are small outposts scattered throughout the inland, built and maintained by the Lionguard, as places where weary travelers and mechants can seek shelter and provisions on their journeys.","Пристани — небольшие заставы, разбросанные по внутренним землям и содержимые Стражей Львиной Арки: там усталые путники и торговцы могут найти в дороге кров и припасы."
"Having seen Dwayna's glory, Malchor could not bear to live in a world without her. It was here that he took the steps that would allow him to exit this world.","Увидев величие Двайны, Малхор не мог жить в мире без неё. Именно здесь он сделал то, что позволило ему покинуть этот мир."
Havroun Valda,Havroun Valda
Havroun Weibe has successfully summoned Raven to clear the blizzard from Jora's Keep. Icebrood forces have been driven back.,Хавруну Вейбе удалось призвать Ворона и разогнать метель над крепостью Йоры. Силы ледяного отродья отброшены.
Haze Globule,Шарик дымки
Haze Rupture,Разрыв дымки
"He and his entire warband died fighting ghosts. He left you this letter. Read it, and we'll talk.","Он и весь его отряд погибли в бою с призраками. Он оставил тебе это письмо. Прочти, и мы поговорим."
He didn't go into much detail—his visions were of a deceased friend. And they only occurred in the lower mines.,Он не вдавался в подробности — видения были о погибшем друге. И приходили только в нижних шахтах.
"He didn't pay you, right? I say smash it. Never work for free.",Он ведь тебе не заплатил? Я бы разбил. Никогда не работай даром.
"He died a soldier's death! He'll probably get a statue in the Grove, the lucky devil.","Он погиб смертью солдата! Ему, счастливчику, наверное, поставят статую в Роще."
"He knows his hunting, but he's the biggest rulesmonger I've ever seen. He means well, but I've been hunting for years. He forgets some of us know what we're doing.","Он знает толк в охоте, но такого крючкотвора я ещё не встречал. Он желает добра, но я охочусь много лет. Он забывает, что некоторые из нас знают своё дело."
"He may have been a thief, but I heard he gave his plunder to the needy. That generosity deserves Awakening!","Может, он и был вором, но, я слышал, добычу он раздавал нуждающимся. Такая щедрость достойна Пробуждения!"
"He may have been a tyrant and a scourge, but he made life colorful. Without Joko, the whole world feels gray. Pretty stupid, right?","Может, он и был тираном и бичом, но с ним жизнь была яркой. Без Джоко весь мир кажется серым. Глупо звучит, да?"
He sections off his mind so that one part can work while the other rests.,"Он делит свой разум на части, чтобы одна работала, пока другая отдыхает."
"He sounded pretty sad when he was talking about it, so maybe that's one of his big regrets.","Он говорил об этом довольно печально, так что, наверное, это одно из его главных сожалений."
He took a small group to meet the tactician at the Stone of Hazaan. They're going to try to capture that area. It's critical to our success.,Он взял небольшой отряд на встречу с тактиком у Камня Хазаана. Они попробуют захватить ту местность. Она решает всё.
"He was a Sunspear once like our friend Olishar, but now he's the cruel warden of this work farm. King Joko gave him authority and power to punish our community for failing to meet our harvest quotas.","Он когда-то был Копьём Солнца, как наш друг Олишар, а теперь он жестокий надсмотрщик этой рабочей фермы. Король Джоко дал ему власть карать нашу общину за то, что мы не выполняем нормы урожая."
"He was the first to suggest that the Captain's Council turn away from both the Krytan navy and the Orrian fleet. He was also the first asura to own a business, and the first to wear a hat. He was the first to—","Он первым предложил Captain's Council отвернуться и от крайтанского флота, и от оррианского. Он же был первым асурой, который завёл своё дело, и первым, кто надел шляпу. Он был первым, кто..."
He would be proud of what we did here today.,"Он бы гордился тем, что мы сегодня здесь сделали."
"He would probably say, ""It's time to be realistic, Seraphette. You don't even know his real name.""","Он бы, наверное, сказал: «Пора смотреть правде в глаза, Серафетта. Ты даже настоящего его имени не знаешь»."
He wouldn't jeopardize a treaty...?,Он не стал бы ставить договор под удар?..
"He'd have those Forged dealt with by now, that's for sure.","Он бы с этими Коваными уже разобрался, это точно."
He'll be back any day now.,"Он вот-вот вернётся, со дня на день."
"He'll be okay, Rox. Honest.","С ним всё будет хорошо, Рокс. Честно."
"He's about, is he? I'd better be going, before I have to listen to one of his speeches.","Он тут где-то, да? Тогда мне лучше идти, пока не пришлось слушать очередную его речь."
He's got some great war stories. Makes you especially proud to be charr.,"У него отличные истории о войне. От них особенно гордишься тем, что ты чарр."
He's lucky he's got a friend.,"Ему повезло, что у него есть друг."
He's opted for early retirement.,Он выбрал ранний уход на покой.
"He's part of a larger web. Strands connecting to strands. Cut one out and nothing changes, not really.","Он часть большей паутины. Нити цепляются за нити. Вырежи одну — и ничего не изменится, по-настоящему нет."
"He's right: focus on the mission, Rox. Right now we need to find a way off this plateau.","Он прав: думай о задании, Рокс. Сейчас нам надо найти способ уйти с этого плато."
"He's...coming. Quickly, tell me a fond memory.","Он... идёт. Скорее, расскажи мне что-нибудь хорошее."
"He...gods, you're right. He didn't pay me for a single one. You...might be onto something. Maybe I should smash them all.","Он... боги, ты прав. Он не заплатил мне ни за одну. Ты... возможно, ты в чём-то прав. Может, мне их все разбить."
"He...saved me. When I was in the Dominion, he...","Он... спас меня. Когда я был во Владычестве, он..."
Head Researcher Korvv,Главный исследователь Корвв
"Head Slaver Nymfassa: Welcome back, sweetling. We have a special place reserved for you.","Старшая работорговка Нимфасса: с возвращением, милочка. У нас для тебя припасено особое место."
Head east—I'm sure Commander Stormfoot could use some reinforcements.,"Иди на восток — уверен, командиру Штормоногу пригодится подкрепление."
Head for the caves!,К пещерам!
"Head into the ruined City of the Gods, but I don't recommend going in alone. If you're smart, you'll take four others with you to watch your back and flanks. Once you're in, you'll find the others there.","Отправляйся в разрушенный Город Богов, но в одиночку идти не советую. Если ты умён, возьмёшь с собой ещё четверых, чтобы прикрывали спину и фланги. Как войдёшь, найдёшь там остальных."
Head on in. You'll find everything you need inside.,"Заходи. Внутри найдёшь всё, что нужно."
"Head southwest and up in the hills until you see the fire zone. Now, move it!","Иди на юго-запад и вверх по холмам, пока не увидишь зону огня. А теперь живо!"
