english,translate
Harvest plants %num2% times in Drizzlewood Coast.,Соберите растения %num2% раз на Моросистом побережье.
Harvest plants %num2% times in Dry Top.,Соберите растения %num2% раз на Сухой Вершине.
Harvest plants %num2% times in Ember Bay.,Соберите растения %num2% раз в Бухте Углей.
Harvest plants %num2% times in Forging Steel.,Соберите растения %num2% раз в «Forging Steel».
Harvest plants %num2% times in Grothmar Valley.,Соберите растения %num2% раз в Grothmar Valley.
Harvest plants %num2% times in Jahai Bluffs.,Соберите растения %num2% раз на Утёсах Джахай.
Harvest plants %num2% times in Lake Doric.,Соберите растения %num2% раз у Lake Doric.
Harvest plants %num2% times in Siren's Landing.,Соберите растения %num2% раз в Пристани Сирены.
Harvest plants %num2% times in Thunderhead Peaks.,Соберите растения %num2% раз в Thunderhead Peaks.
Harvest plants %num2% times in the Domain of Istan.,Соберите растения %num2% раз в Domain of Istan.
Harvest plants %num2% times in the Domain of Kourna.,Соберите растения %num2% раз во Владении Курна.
Harvest plants %num2% times in the Sandswept Isles.,Соберите растения %num2% раз на Песчаных Островах.
Harvest plants %num2% times in the Silverwastes.,Соберите растения %num2% раз в Серебряных Пустошах.
Harvest plants %num2% times in Bloodstone Fen.,Соберите растения %num2% раз в Bloodstone Fen.
Harvesting Information,Harvesting Information
Hasty Harpooning,Hasty Harpooning
Hat Trick,Hat Trick
Hatch a skyscale egg.,Высидеть яйцо скайскейла.
Hatchery Helper,Hatchery Helper
Haunt these evil sylvari like a bad dream.,"Преследуйте этих злых сильвари, как дурной сон."
Have %num2% coins in the wallet at one time.,Имейте %num2% монет в кошельке одновременно.
Have a Seat and Pull the Trigger,Have a Seat and Pull the Trigger
Have a climactic battle.,Устройте кульминационную битву.
"Have a face-to-face conversation with King Palawa Joko in the episode ""Long Live the Lich.""",Поговорите лицом к лицу с королём Palawa Joko в эпизоде «Long Live the Lich».
Have a high-powered business meeting.,Проведите деловую встречу высокого уровня.
Have an ArenaNet employee visit a homestead.,Пусть сотрудник ArenaNet посетит усадьбу.
Have at least 15 mummies under your command.,Имейте под своим командованием не менее 15 мумий.
Have you found all of them?,Вы нашли их всех?
"Having received no support from Rytlock or Eir, Braham enlists your help to retake Cragstead, in the Wayfarer Foothills, from the Molten Alliance.","Не получив поддержки от Rytlock или Eir, Braham просит вас помочь отбить Cragstead в Wayfarer Foothills у Molten Alliance."
"Having received no support from Rytlock or Eir, Braham enlists your help to retake his village from the Molten Alliance. [This mission is now playable in Living World Season 1: Episode 1]","Не получив поддержки от Rytlock или Eir, Braham просит вас помочь отбить его деревню у Molten Alliance. [Эта миссия теперь доступна в Living World, Сезон 1: Эпизод 1]"
Haywire Punch-o-Matic Battle: Gold,Битва с Punch-o-Matic: Золото
Haywire Punch-o-Matic Battle: Silver,Битва с Punch-o-Matic: Серебро
Hazardous Materials: Gold,Hazardous Materials: Gold
Hazardous Materials: Silver,Hazardous Materials: Silver
Hazardous Research: Bronze,Hazardous Research: Bronze
Hazardous Research: Gold,Hazardous Research: Gold
Hazardous Research: Silver,Hazardous Research: Silver
He accepts this fate if it means protecting the forge.,"Он принимает эту судьбу, если это означает защиту кузницы."
He couldn't have done it without you.,Он не смог бы сделать это без вас.
He'll Never Live This Down,He'll Never Live This Down
