english,translate
"Appearances! Plan's perfect: you find the rod and give it to me, then others think I'm working on our boat. But rain summons will always fail, because I want to work on the boat forever!","Для вида! План идеален: ты находишь жезл и отдаешь его мне, тогда остальные думают, что я работаю над нашей лодкой. Но призыв дождя всегда будет проваливаться, потому что я хочу работать над лодкой вечно!"
Applenook is running splendidly thanks to all your help. I expect those farmers and town folk are very grateful.,"Эпплнук процветает благодаря твоей помощи. Думаю, фермеры и горожане очень благодарны."
Appreciate it. Thanks.,Ценю это. Спасибо.
Appreciated. Thanks.,Ценю. Спасибо.
Apprentice embalmers went out to check the emergency caches near the Necropolis.,Ученики бальзамировщиков отправились проверить аварийные тайники возле Некрополя.
"Approach cautiously, friend, and state your intentions clearly. I have little patience today.","Приближайся осторожно, друг, и чётко излагай свои намерения. У меня сегодня мало терпения."
"Arcallion's Denshould be Dig, not Den home! Dangers though. Dangers to shinies! Shinies safe, home safe.","Arcallion's Den — это дом! Но там опасно. Опасно для блестяшек! Блестяшки в безопасности, дом в безопасности."
Arcane crystal grindings?,Крошка магических кристаллов?
"Arcanists are Priory protectors, and historians are Priory librarians. There are other ranks, too, but arcanists get the best armor.","Арканисты — защитники Приората, а историки — его библиотекари. Есть и другие ранги, но у арканистов лучшая броня."
"Arctodus live around here, and they keep attacking my dolyaks. Keep those beastly things away. You can start by repairing the fence, but if you see one of the mongrels, attack it.","Здесь обитают Arctodus, и они постоянно нападают на моих доллияков. Держи этих тварей подальше. Можешь начать с починки забора, но если увидишь хоть одного из этих псов — атакуй."
Are DERVs those golem suits over there?,DERV — это те големы-костюмы вон там?
Are all clergy of Dwayna skilled in medicine?,Все ли служители Dwayna обучены медицине?
Are all gladium like you?,"Все гладиумы такие, как ты?"
Are all of the golems running around here yours?,"Все эти големы, бегающие здесь, твои?"
Are all of the soldiers who live here gladium?,"Все солдаты, живущие здесь — гладиумы?"
Are all of these rabbits yours?,Все эти кролики твои?
Are all these hatchlings yours?,Все эти малыши твои?
Are bandits involved?,Бандиты замешаны?
Are centaurs involved?,А кентавры замешаны?
Are meals easier to come by where you come from?,"Там, откуда ты пришёл, еду найти проще?"
Are sylvari really born from trees?,Сильвари правда рождаются из деревьев?
Are the Flame Legion a problem here?,Flame Legion здесь проблема?
Are the bad hiding men dangerous?,Эти плохие прячущиеся люди опасны?
Are the gangs causing you trouble?,Банды доставляют вам неприятности?
Are the ghosts causing problems?,Призраки создают проблемы?
Are the ghosts causing trouble?,Призраки доставляют неприятности?
Are the ideas that crazy?,Эти идеи настолько безумны?
"Are the jackals dangerous, then?","Значит, шакалы опасны?"
Are the ones in the pods still in The Dream?,"Те, что в капсулах, все ещё в Сне?"
Are the people here friendly or hostile?,Люди здесь дружелюбны или враждебны?
Are the shipping lanes safe?,Торговые пути безопасны?
Are the sylvari in Divinity doing well?,У сильвари в Divinity все хорошо?
Are there a lot of sylvari artists?,Здесь много художников-сильвари?
Are there any jade tech heaters that would work better?,"Есть ли какие-нибудь нефритовые обогреватели, которые работали бы лучше?"
Are there any other special area I should know about?,"Есть ли ещё какие-то особые области, о которых мне стоит знать?"
Are there any other stables around here?,Здесь есть другие конюшни?
Are there any priests and priestesses of other deities around?,Есть ли поблизости жрецы и жрицы других божеств?
Are there any resources on the ground we could use,"Есть ли на земле ресурсы, которые мы могли бы использовать?"
Are there any reviews of your work?,Есть ли какие-нибудь отзывы о ваших работах?
Are there any side effects?,Есть какие-нибудь побочные эффекты?
Are there any special ways to mount a skyscale?,Есть ли особые способы оседлать скайскейла?
Are there any threats near Highpass Haven?,Есть ли какие-то угрозы рядом с Highpass Haven?
Are there any treasures of the past here?,Есть ли здесь сокровища прошлого?
Are there caverns here? How can I get around more quickly?,Здесь есть пещеры? Как мне передвигаться быстрее?
Are there many Ascalonian ghosts around here?,Здесь много призраков Ascalon?
Are there many poor in Divinity's Reach?,В Divinity's Reach много бедняков?
Are there more Vigil coming?,Прибудет ли ещё подкрепление Vigil?
Are there more deadeyes like you?,"Есть ещё такие меткие стрелки, как ты?"
Are there more defectors coming this way?,Сюда идут ещё перебежчики?
Are there more defenses we could add?,"Есть ли ещё какая-то защита, которую мы могли бы добавить?"
Are there more refugees coming this way?,Сюда идут ещё беженцы?
Are there no plans to advance?,Нет планов наступать?
Are there other lumberyards around here?,Здесь есть другие лесопилки?
Are there other lumberyards?,Есть другие лесопилки?
Are there other ways I can help?,Есть ли другие способы помочь?
Are there that many people in the lower class?,Неужели в низшем сословии так много людей?
Are these eggs helpful?,Эти яйца пригодятся?
Are these for sale? Let me see.,Это продается? Дай взглянуть.
Are these the sort of skritt artifacts you're looking for?,"Это те самые артефакты скриттов, которые вы ищете?"
Are they a problem for you?,Они для тебя проблема?
Are they as bad as they sound?,"Они так опасны, как говорят?"
Are they being forced into servitude?,Их принуждают к рабству?
Are they causing you trouble?,Они доставляют тебе неприятности?
Are they dangerous?,Они опасны?
"Are they good for anything else? We were sent here to protect this area, but the Inquest is making things absurdly difficult.","Разве они годятся на что-то ещё? Нас послали сюда охранять эту территорию, но Inquest делает всё невыносимо сложным."
Are they hurting you?,Они причиняют тебе боль?
Are they much of a problem around here?,Они здесь большая проблема?
Are they supposed to look like that? I should ask an engineer.,Они должны так выглядеть? Стоит спросить инженера.
Are they—are they gone yet?,Они... они уже ушли?
Are those your kids I see running around?,Это твои дети бегают вокруг?
Are those your wares? Can I see?,Это твои товары? Можно взглянуть?
Are we doing anything to upgrade our fort's defenses?,Мы делаем что-нибудь для улучшения обороны нашего форта?
Are we doing anything to upgrade our forts' defenses?,Мы делаем что-нибудь для улучшения обороны наших фортов?
Are you Angchu or Sensali?,Вы Ангчу или Сенсали?
"Are you Kang Hyesoon? As in ""The Disappearance of Zunraa"" Kang Kyesoon?","Ты Kang Hyesoon? Та самая, что написала «Исчезновение Zunraa»?"
Are you a Bear shaman?,Ты шаман Медведя?
Are you a Councilor?,Вы Советник?
"Are you a fellow scholar, friend?","Ты тоже ученый, друг?"
Are you a gladium by choice or circumstance?,Ты стала гладиумом по своей воле или из-за обстоятельств?
