english,translate
I want to check out some local flavor.,Я хочу узнать о местных развлечениях.
I want to create another mirror.,Я хочу создать ещё одно зеркало.
I want to dance.,Я хочу потанцевать.
I want to destroy some ghosts! Where's the best place to scare some up?,Я хочу уничтожить призраков! Где лучше всего их поискать?
"I want to explore the world and go on adventures, but everyone says I'm too frail. I'll show them! I'm training to be the strongest asura ever.","Я хочу исследовать мир и отправляться в приключения, но все говорят, что я слишком слаб. Я им покажу! Я тренируюсь, чтобы стать самым сильным асура в истории."
I want to get to the skritt city.,Я хочу попасть в город скриттов.
I want to go back.,Я хочу вернуться.
"I want to go fish, but it's just too dangerous. With a wife and children back home, I can't be standing on the shore of krait-infested waters for a living.","Я хочу порыбачить, но здесь слишком опасно. С женой и детьми дома я не могу зарабатывать на жизнь, стоя на берегу, кишащем крайт."
I want to hear about something else.,Я хочу услышать о чем-то другом.
I want to hear about wisdom in the heat of battle.,Я хочу услышать о мудрости в пылу битвы.
I want to hear another story.,Я хочу услышать ещё одну историю.
I want to hear another tale.,Я хочу услышать другую историю.
I want to hear another.,Хочу услышать ещё одну.
I want to hear more stories.,Я хочу услышать ещё историй.
I want to hear other stories.,Я хочу услышать другие истории.
I want to help with the preservation.,Я хочу помочь с сохранением.
I want to know about a person.,Я хочу узнать о человеке.
I want to know about a place.,Я хочу узнать о месте.
I want to know about another place.,Я хочу узнать о другом месте.
I want to know about someone else.,Я хочу узнать о ком-то другом.
I want to know about something else.,Я хочу узнать о чём-то другом.
I want to know about the display.,Я хочу узнать о представлении.
I want to know more about a person.,Я хочу узнать больше о человеке.
I want to know more about a place.,Я хочу узнать больше о месте.
I want to know more about the display.,Я хочу узнать больше о представлении.
I want to know more about the high roads.,Я хочу узнать больше о главных дорогах.
I want to know more about your problems.,Я хочу знать больше о ваших проблемах.
I want to know what you think about the other colleges.,"Я хочу знать, что ты думаешь о других коллегиях."
"I want to know, too! How can I get to it?",Я тоже хочу знать! Как мне добраться до него?
I want to learn more about the creatures in this area.,Я хочу узнать больше о существах в этой местности.
I want to make the bookahs in charge pay for transferring me out of magnetics research just as I was about to make some real progress!,"Я хочу, чтобы эти буки, которые здесь всем заправляют, заплатили за то, что перевели меня из отдела магнитных исследований как раз тогда, когда я был на пороге настоящего прорыва!"
"I want to send a message that they are unwelcome here. If we set fire to dry brambles on their grounds, they will understand that. Just do not ignite something that would harm a prisoner.","Я хочу дать им понять, что им здесь не рады. Если мы подожжем сухой терновник на их территории, они поймут. Только не поджигай то, что может навредить пленнику."
I want to shop.,Я хочу сделать покупки.
I want to sleep.,Я хочу поспать.
I want to snuffle more truffles.,Я хочу поискать ещё трюфелей.
I want to spar with you. What do you say?,Я хочу поспарринговать с тобой. Что скажешь?
"I want to write a song about you, but I'd like your input!","Я хочу написать песню о тебе, но мне бы хотелось узнать твое мнение!"
I wanted to ask about something else.,Я хотел спросить о другом.
I wanted to ask about the stables.,Я хотел спросить о конюшне.
I wanted to ask another question.,Я хотел задать ещё один вопрос.
I wanted to find out what you're doing here.,"Я хотел узнать, что вы здесь делаете."
I wanted to see the Black Citadel and walk on the ruins of Ascalon. It's an important part of our history. I didn't want to just read about it.,Я хотел увидеть Black Citadel и пройтись по руинам Ascalon. Это важная часть нашей истории. Я не хотел просто читать об этом.
I was Bear's rage incarnate. I would have fought day and night until I fell had friends not pulled me back for rest. It turns out even I require food and water.,"Я был воплощением ярости Bear. Я сражался бы день и ночь, пока не упал, если бы друзья не оттащили меня отдохнуть. Оказывается, даже мне нужны еда и вода."
"I was a little overaggressive about getting as much traveling in as I can into each day. At this rate, I'm half a week early. I'd better slow down. Maybe I'll take a break here.","Я был слишком одержим тем, чтобы успеть как можно больше за день. С таким темпом я приду на полнедели раньше. Лучше приторможу. Может, сделаю здесь перерыв."
"I was accused of spilling oil all over the cannon master. But, I didn't do it!","Меня обвинили в том, что я разлил масло на мастера пушек. Но я этого не делал!"
I was actually joking about the whole helping out part.,На самом деле я пошутил насчет помощи.
"I was apprenticed to Alric, a beloved and wise Wolf speaker who died far before his time. He was still teaching me the responsibilities of the calling when it happened. I have much to live up to.","Я был учеником Алрика, любимого и мудрого глашатая Волка, который умер раньше своего времени. Он все ещё учил меня обязанностям этого призвания, когда это случилось. Мне предстоит многое сделать, чтобы соответствовать ему."
I was asked to give you this. (Offer gift),Меня попросили передать тебе это. (Предложить подарок)
"I was asleep. We all were, when a terrible grinding noise woke us. It was like the mountain itself was being turned inside out. We ran out and saw the dredge machine ripping out of the ground.","Я спал. Мы все спали, когда нас разбудил ужасный скрежет. Казалось, будто сама гора выворачивается наизнанку. Мы выбежали и увидели, как машина dredge прорывается из-под земли."
I was at the last one. Issormir didn't stand a chance!,Я был на последней. У Issormir не было ни единого шанса!
I was being chased by harpies and sort of fell into this cave. Imagine my horror when I found it infested with these creatures...,"Меня преследовали гарпии, и я как-то свалился в эту пещеру. Представьте мой ужас, когда я обнаружил, что она кишит этими тварями..."
I was born in Ebonhawke. The charr have had us under siege for 250 years. I only ever saw these woods from the tops of our fortified walls. That's why I jumped at the chance to come here.,Я родился в Ebonhawke. Charr держали нас в осаде 250 лет. Я видел эти леса только с вершин наших укрепленных стен. Вот почему я ухватился за шанс приехать сюда.
"I was born to be a miner, not a farmer. That, like everything else, was taken from me by the centaurs.","Я был рожден шахтером, а не фермером. Это, как и все остальное, у меня отняли кентавры."
"I was captain of the Rusty Cutlass, kid. My ship ran like clockwork—always on time, never an oar out of line. This place needs that kind of structure!","Я был капитаном Rusty Cutlass, малец. Мой корабль работал как часы — всегда вовремя, ни одного весла не выбивалось из ритма. Этому месту нужна такая дисциплина!"
"I was concerned when I heard they were taking down the old memorial to all those who died in the battle against Scarlet, but when I saw this...I was moved.","Я волновался, когда услышал, что они сносят старый мемориал всем тем, кто погиб в битве против Scarlet, но когда я увидел это... я был тронут."
I was contemplating joining the Inquest. I find their ambition and fortitude most admirable. Don't you agree?,Я подумывал вступить в Инквест. Я нахожу их амбиции и стойкость весьма достойными восхищения. Разве ты не согласен?
"I was curious, but since you've signed a non-disclosure agreement—","Мне было любопытно, но раз вы подписали соглашение о неразглашении —"
I was doing some rock climbing on the plateaus south of the skimmer camp. I took 'em off to get a better grip and must have left them up there.,"Я лазил по скалам на плато к югу от лагеря skimmer. Снял их, чтобы лучше держаться, и, должно быть, оставил там."
"I was eating by the fire when some trolls jumped me. I didn't want my dinner to get cold, so I just kept eating while I fought 'em off. I pummeled, took a bite, pummeled, took a bite—","Я ел у костра, когда на меня напали тролли. Не хотелось, чтобы ужин остыл, поэтому я продолжал жевать, пока отбивался. Удар, кусь, удар, кусь..."
I was escorting a merchant through the drifts when the grawl attacked our wagon. They stole valuable elixirs that I'm now trying to get back. I ran into these two hunters when I got up here.,"Я сопровождал торговца через сугробы, когда гроулы напали на нашу повозку. Они украли ценные эликсиры, которые я теперь пытаюсь вернуть. Я встретил этих двух охотников, когда поднялся сюда."
"I was expecting more from this place. You have to fill out paperwork and wait for approval to receive anything, and you need to justify every single bit of equipement you request.","Я ожидал большего от этого места. Нужно заполнять кучу бумаг и ждать одобрения, чтобы что-то получить, и нужно обосновывать каждую единицу запрашиваемого оборудования."
I was following orders. Doing my duty. You wouldn't understand.,Я выполнял приказы. Исполнял свой долг. Тебе не понять.
"I was given this one a long time ago and told it was a ""key"" of some sort.","Мне дали этот камень давным-давно и сказали, что это своего рода «ключ»."
I was glad to do it.,Я был рад помочь.
I was glad to do what I could for your people. Take care.,Я был рад помочь вашему народу. Береги себя.
I was glad to help.,Был рад помочь.
"I was going to ask you to go after the centaurs, but you look like a weakling.","Я собирался попросить тебя пойти за кентаврами, но ты выглядишь как слабак."
"I was going to do that, until you stopped me!","Я собирался это сделать, пока ты меня не остановил!"
I was happy to help.,Был рад помочь.
I was hired to do...something. Why can I not remember my mission? Do you know?,"Меня наняли, чтобы сделать... что-то. Почему я не могу вспомнить свою миссию? Ты знаешь?"
"I was his first wife, though I didn't live long enough to be queen. Don't trust a word he says. Oswald may seem charming, but he always has a plan up his sleeve.","Я была его первой женой, хотя прожила недостаточно долго, чтобы стать королевой. Не верь ни единому его слову. Oswald может казаться обаятельным, но у него всегда припасен план в рукаве."
"I was hoping for ""True-False."" Maybe I'll boost my reputation some other way.","Я надеялся на «Правда-Ложь». Может, я подниму свою репутацию как-нибудь иначе."
I was hoping it wouldn't come to this.,"Я надеялся, что до этого не дойдёт."
I was hoping you could answer a few questions for me.,"Я надеялся, что ты сможешь ответить на пару моих вопросов."
I was hoping you'd say that. Get ready!,"Я надеялся, что ты так скажешь. Готовься!"
"I was hoping you'd stop by, %str1%. It's a lot of work keeping a frontier camp like this safe. You stepped up, and you did an outstanding job. Thank you for all of your help.","Я надеялся, что ты заглянешь, %str1%. Удерживать такой пограничный лагерь в безопасности — тяжёлый труд. Ты взялся за дело и отлично справился. Спасибо за помощь."
"I was hurt bad. Wandered through the fields for days before Cerberus found me. He let me join his warband after I regained my strength. Now, I can help train devourers.","Я был тяжёло ранен. Бродил по полям несколько дней, пока меня не нашёл Cerberus. Он позволил мне вступить в его отряд, когда я набрался сил. Теперь я могу помогать тренировать пожирателей."
I was impressed by what you did. I don't supposed you'd consider hanging around for awhile?,"Я впечатлен тем, что ты сделал. Не хочешь задержаться здесь на некоторое время?"
I was in the Lionguard. I used to believe this war with the centaurs was pointless.,"Я был в Страже Льва. Раньше я считал, что эта война с кентаврами бессмысленна."
"I was journeying to Eldvin Monastery to partake in an ale tasting when I, well, I lost my way. That was a few days ago. I came across these creatures, and I figured I could assist them. Pff.","Я направлялся в монастырь Элдвин на дегустацию эля, когда, ну, сбился с пути. Это было несколько дней назад. Я наткнулся на этих существ и решил, что могу им помочь. Пфф."
"I was just about to ask how you got up here. We used Zephyrite Aspect skills to climb the cliffs, but our footholds broke off behind us.","Я как раз собирался спросить, как ты сюда попал. Мы использовали навыки Zephyrite Aspect, чтобы взобраться на скалы, но опоры под нами обломились."
I was just doing my part.,Я просто выполнял свой долг.
"I was just hunting in the jungle, getting food for my family, when I was confronted by the White Mantle. They asked me about the Henge of Denravi, and other things I didn't understand.","Я просто охотился в джунглях, добывал еду для семьи, когда столкнулся с White Mantle. Они расспрашивали меня о Henge of Denravi и других вещах, которых я не понимал."
I was just leaving.,Я как раз ухожу.
"I was just pulling your leg. I saw you fighting from my watchpoint. Thanks to you, our steading's enjoying a reprieve from the icebrood.","Я просто шутил. Я видел, как ты сражаешься, со своего наблюдательного пункта. Благодаря тебе наше поселение может передохнуть от icebrood."
I was just stopping by.,Я просто зашёл по пути.
I was just wondering what these poor Risen must be thinking. Do you imagine they know they've lost their master and are now unchained?,"Я как раз думал, о чем могут думать эти несчастные Восставшие. Как думаете, они знают, что лишились хозяина и теперь свободны?"
"I was learning about Kralkatorrik, one of the Elder Dragons. Did you know it's the size of a mountain? How terrible!","Я изучал Kralkatorrik, одного из Старших драконов. Ты знал, что он размером с гору? Как ужасно!"
I was not completely honest with you.,Я был не совсем честен с тобой.
