english,translate
Esme's Overlook,Смотровая площадка Эсме
Essence Purification Zone,Зона очистки эссенции
Estate of Decay,Поместье разложения
Estates of the Favored,Поместья избранных
Estates Waypoint,Путевая точка «Поместья»
Eternal Battlegrounds,Вечные поля битвы
Eternal Cauldron,Вечный котёл
Eternal Coliseum,Вечный Колизей
Eternal Necropolis,Вечная некрополь
Eternal Necropolis Emergency Waypoint,Аварийная путевая точка Вечного некрополя
Eternal Pool,Вечный пруд
Eternal Reservoir,Вечный резервуар
Eternity's Focus,Фокус Вечности
Eternity's Focus Waypoint,Путевая точка Фокуса Вечности
Eternity's Garden,Сад Вечности
Ettinworks Lab,Лаборатория Эттинворкс
Eukaryan Caves,Пещеры Эукариан
Evacuation,Эвакуация
Eventide's March,Марш Вечерней Зари
Eventide's March: Coliseum of the Midnight King,Марш Вечерней Зари: Колизей Короля Полуночи
Eventide's March: Nyedra Surrounds,Марш Вечерней Зари: Окрестности Ниедры
Ever Vigilant,Всегда начеку
Evergreen Pond,Вечнозелёный пруд
Evisomancer's Resort,Курорт Эвисоманта
Ewyn's Retreat,Убежище Эвин
Exalted Ruins,Руины Возвышенных
Excavation Point 7-G,Раскоп 7-Г
Excavation Site,Место раскопок
Excavation Yard,Раскопочный двор
Exhumed Delve,Раскопанная шахта
Exile Waypoint,Путь Изгнанника
Exile's Rest,Покой изгнанника
Exorheic Falls,Экзорейские водопады
Expanse Waypoint,Путевая точка Пространства
Experimental Lab Green,Экспериментальная лаборатория (зелёная)
Experimental Lab Red,Экспериментальная лаборатория (красная)
Experimental Lab White,Экспериментальная лаборатория: Белая
Explosive Intellect,Взрывной интеллект
Exterminatus HQ,Штаб Экстерминатус
Extraction Point: Command Quarters,Точка извлечения: Командный пункт
Eye of the Brandstorm,Око Брандшторма
Eye of the North,Око Севера
Eye of the North Waypoint,Путевая точка Ока Севера
Eye of the Sun,Око Солнца
"Eyes, Ears, and Arms: Riddled Cove","Глаза, уши и руки: Загадочная бухта"
Eztlitl Grounds Waypoint,Путевая точка земель Эзтлиртль
Fabled Djannor,Легендарный Джаннор
Facing the Truth: The Sanctum,Встреча с истиной: Святилище
Factorium Waypoint,Путевая точка Факториума
