english,translate
Blood Legion.,Кровавый легион.
Crusader D'Stolt,Крестоносец Д'Столт
Crusader Brice,Крестоносец Брайс
Captain Mai Trin Boss,Босс Капитан Май Трин
Commander Spleedoop,Командир Spleedoop
Crusader Aisling,Крестоносец Эйслинг
Crusader Vilborg,Крестоносец Вильборг
Chief Inspector Lutze,Главный инспектор Лутце
Crystal Desert Mastery Insight,Прозрение мастерства Пустыни Кристалла
Dominion Charr,Чарр Владычества
Captain Jayne,Капитан Джейн
Deputy Jenks,Заместитель Дженкс
Captain Farrus,Капитан Фаррус
Corporal Lebeau,Капрал Лебо
Blood Legion Centurion,Центурион Кровавого легиона
Blood Legion Soldier,Солдат Кровавого легиона
Blood Legionnaire,Кровный легионер
Centurion Volante Tornpaw,Центурион Воланте Рваная Лапа
Branded Accumulation,Клеймёное накопление
Branded Griffon,Клеймённый грифон
Branded Minotaur,Клеймёный минотавр
Captain Suwash,Капитан Суваш
Chief Akik'tak,Вождь Акик'так
Commander Varalyn,Командир Varalyn
Crystal Desert Reward Track,Трек наград Кристальной пустыни
Blood Legion Imperator,Империатор Кровавого легиона
Captain Barud,Капитан Баруд
Captain Gullivre,Капитан Гулливр
Captain Mai Trin Boss Fractal,Фрактал босса Капитан Май Трин
Centurion Shadowclaw,Центурион Shadowclaw
Crystal Oasis Griffon Master,Мастер грифонов Оазиса Кристаллов
Blood Legion Commendations,Грамоты Кровавого легиона
Blood Ooze,Кровавая слизь
Branded Human,Помеченный человек
Captain Farth Scarclaw,Капитан Фарт Скаркло
Captain Gegnir Skyfarer,Капитан Гегнир Небоход
Captain Harold,Капитан Гарольд
Captain Lindel,Капитан Линдел
Captain Slade Killcount,Капитан Слейд Счёт Убийств
Commander Plipdoolb,Коммандир Plipdoolb
Commander Siegecrusher,Командир Siegecrusher
Crystal Arbiter Appearance Pack,Набор облика «Хрустальный арбитр»
Crystal Desert Mastery Point,Очко мастерства Кристальной пустыни
Crystal Node,Кристальный узел
Crystal Shards,Кристаллические осколки
Deputy Turma,Заместитель Турма
Blighted Thorn,Заражённый шип
Blood Flame,Кровавое пламя
Blood Fueled,Подпитан кровью
Blood Legion Sword,Меч Кровавого легиона
Blood Rage,Кровавая ярость
Blood Shield,Кровавый щит
Branded Attackers,Клеймёные нападающие
Branded Elemental,Клеймёный элементаль
Branded Hydra Head,Голова клеймёной гидры
Branded Imprisonment,Клеймёное заточение
Branded Relic,Клеймёная реликвия
Branded Seed,Клеймёное семя
Branded Tornado,Клеймёный смерч
Branded Waterfall,Клеймёный водопад
Branded Wyvern,Клеймённый виверн
Captain Ferrine,Капитан Феррин
Captain Hao Luen,Капитан Хао Луэн
Captain Horvath,Капитан Хорват
Captain Romke,Капитан Ромке
Captain Samuelsson,Капитан Самуэльссон
Castaway Agnes,Агнес-изгой
Castaway Tove,Потерпевшая кораблекрушение Tove
Centurion Bloodfist,Центурион Bloodfist
Chief Executive Officer,Главный исполнительный директор
Commander Siegerazer,Командир Siegerazer
Consortium Magic Researcher,Исследователь магии Консорциума
Corporal Balkin,Капрал Балкин
Crusader Jasper,Крестоносец Джаспер
Crystal Bloom Knight,Рыцарь Хрустального расцвета
Crystal Bloom Quartermaster,Квартирмейстер Хрустального расцвета
Crystal Collection,Коллекция кристаллов
Crystal Essence,Сущность кристалла
Crystal Formation,Кристаллическое образование
Crystal Oasis Griffon Expert,Эксперт по грифонам Оазиса Кристаллов
Crystal Oasis Griffon Expert Course,Трасса грифона «Кристальный оазис» (эксперт)
Crystal Oasis Griffon Master Course,Трасса грифона «Кристальный оазис» (мастер)
Crystal Rune Conjured Doorway,Призванный дверной проём кристаллической руны
Deputy Aveline,Заместитель Авелин
Dominion Artillery,Артиллерия Владычества
Blighted Strike,Порченый удар
Blighted Wave,Проклятая волна
Blood Centurion,Центурион Кровавых
Blood Collector,Сборщик крови
Blood Collectors,Сборщики крови
Blood Console,Кровавая консоль
Blood Cub,Кровавый детёныш
Blood Cyclone,Кровавый циклон
Blood Division,Кровавое разделение
Blood Drinker,Кровопийца
Blood Fiend Health Sacrifice,Жертва здоровья Кровавого приспешника
Blood Fiend Toggle,Переключение кровяного демона
Blood Grenade,Кровавая граната
Blood Idol,Кровавый идол
Blood Legion Ammo Crate,Ящик с боеприпасами Кровавого легиона
Blood Legion Braggart,Хвастун из Кровавого легиона
Blood Legion Brawler,Драчун Кровавого легиона
Blood Legion Captain,Капитан Кровавого легиона
Blood Legion Challenger,Претендент Кровавого легиона
Blood Legion Door,Дверь Кровавого легиона
Blood Legion Duelist,Дуэлянт Кровавого легиона
Blood Legion Flag,Флаг Кровавого легиона
Blood Legion Gemstone Ring,Кольцо с самоцветом Кровавого легиона
Blood Legion Greatsword,Двуручный меч Кровавого легиона
Blood Legion Impostor,Самозванец Кровавого легиона
Blood Legion Loafer,Кровный легионер-бездельник
Blood Legion Marksman,Стрелок Кровавого легиона
Blood Legion Pledge,Новобранец Кровавого легиона
Blood Legion Prototype Cannon,Опытная пушка Кровавого легиона
Blood Legion Spectator,Наблюдатель Кровавого Легиона
Blood Legion War Banner,Боевое знамя Кровавого легиона
Blood Legion Warrior,Воин Кровавого легиона
Blood Link,Кровавая связь
Blood Ooze Gallery,Галерея кровавой слизи
Blood Pledge,Кровавая клятва
Blood Processors,Переработчики крови
Blood Reflection,Кровавое отражение
Blood Rush,Кровавый порыв
Blood Sacrifice,Кровавое жертвоприношение
Blood Wire,Кровавая проволока
Branded Anomaly,Клеймёная аномалия
Branded Artillery,Артиллерия клеймёных
Branded Aura,Аура клеймёных
Branded Awakened Archer,Клеймёный пробуждённый лучник
Branded Awakened Defiler,Клеймёный пробуждённый осквернитель
Branded Awakened Occultist,Клеймёный пробуждённый оккультист
Branded Awakened Ravager,Клеймёный пробуждённый опустошитель
Branded Awakened Soldier,Клеймёный пробуждённый солдат
Branded Barrage,Клеймёный залп
Branded Barrier,Клеймёный барьер
Branded Beam,Клеймёный луч
Branded Beasts,Клеймёные звери
Branded Bolt,Клеймёный разряд
Branded Bombardier,Клеймёный бомбардир
Branded Captain,Клеймённый капитан
Branded Charge,Клеймёный заряд
Branded Charr,Клеймёный чарр
Branded Charr Physical Death,Клеймёный чарр: физическая смерть
Branded Chest,Клеймёный сундук
Branded Chosen Mummy,Клеймёная мумия Избранного
Branded Conflagration,Фирменный пожар
Branded Corporal,Клеймённый капрал
Branded Crystal Containment,Контейнер с клейменным кристаллом
Branded Crystal Elemental,Клеймёный кристаллический элементаль
Branded Crystal Explosion,Взрыв клеймёного кристалла
Branded Crystal Shield Guardian,Клеймёный страж кристаллического щита
Branded Debris,Клеймёные обломки
Branded Devourer Egg,Клеймёное яйцо пожирателя
Branded Devourer Nest,Клеймёное гнездо пожирателя
Branded Devourers,Брендированные пожиратели
Branded Djinn,Фирменный джинн
Branded Dredge Excavator,Клеймёный дредж-землекоп
Branded Dredge Miner,Фирменный земснаряд-шахтер
Branded Dredge Ratnik,Фирменный Дредж Ратник
Branded Dredge Resonator,Клеймёный резонатор землероев
Branded Earth,Клеймёная земля
Branded Earth Elemental,Branded земляной элементаль
Branded Elementalist Staff,Клеймёный посох элементалиста
Branded Energy,Клеймёная энергия
Branded Fireball,Клеймёный огненный шар
Branded Fish,Клеймёная рыба
Branded Fissure,Клеймёный разлом
Branded Glow,Клеймёное свечение
Branded Gore,Клеймёная кровь
Branded Heal,Клеймёное исцеление
Branded Jab,Клеймёный тычок
Branded Lieutenant,Клеймённый лейтенант
Branded Lieutenant Priest,Клеймёный лейтенант-жрец
Branded Light,Клеймёный свет
Branded Lighting Strike,Клеймёный молниевый удар
Branded Lightning Orb,Клеймёный шар молнии
Branded Lightning Shield,Клеймёный щит молний
Branded Lightning Strike,Клеймёный удар молнии
Branded Minions,Клеймёные прислужники
Branded Occupation,Оккупация Клейменными
Branded Pod,Клеймёный стручок
Branded Prismatic Crystal,Призматический кристалл Клейма
Branded Prison,Тюрьма Клейма
Branded Punch,Клеймёный удар
Branded Pyramid,Клеймёная пирамида
Branded Riftcrawler,Клеймёный разломоползень
Branded Rifts' Chest,Сундук разломов Клейма
Branded Rock Dog,Проклятый каменный пёс
Branded Rock Spire,Каменный шпиль Клейма
Branded Runners,Клеймёные бегуны
Branded Sergeant,Клеймённый сержант
Branded Shard Burst,Взрыв осколков Клейма
Branded Spikes,Шипы из Клейма
Branded Starfish,Клеймёная морская звезда
Branded Strength,Сила Клейменных
Branded Strike,Клеймёная атака
Branded Sunderer,Клеймёный разрушитель
Branded Thorns,Клеймёные шипы
Branded Turret,Клеймёная турель
Branded Wave,Клеймёная волна
Branded Waves,Брендированные волны
Captain Birna,Капитан Бирна
Captain Bradin Glenavon,Капитан Брадин Гленавон
Captain Bragen,Капитан Браген
Captain Brektikk,Капитан Брэктикк
Captain Bren,Капитан Брен
Captain Briston,Капитан Бристон
Captain Carbins,Капитан Карбинс
Captain Crowe,Капитан Кроу
Captain Emund,Капитан Эмунд
Captain Farrus's First Journal,Первый дневник капитана Фарруса
Captain Farrus's Second Journal,Второй дневник капитана Фарруса
Captain Farrus's Third Journal,Третий дневник капитана Фарруса
Captain Glennon,Капитан Гленнон
Captain Hilde Wulfsdottir,Капитан Хильда Вульфсдоттир
Captain Ironstar,Капитан Железная Звезда
Captain Jessica Hammerhart,Капитан Джессика Хаммерхарт
Captain Meadors,Капитан Медорс
Captain Miken,Капитан Микен
Captain Min's To-Do List,Список дел капитана Мин
Captain Penzan's Song,Песня капитана Пензана
Captain Pinkeens,Капитан Пинкинс
Captain Price,Капитан Прайс
Captain Protmar,Капитан Протмар
Captain Ragna,Капитан Рагна
Captain Saia's Journal,Дневник капитана Саи
Captain Scott,Капитан Скотт
Captain Seana Beach,Капитан Сина Бич
Captain Strazny,Капитан Стразный
Captain Syska Shatterjaw,Капитан Сиска Разбитая Челюсть
Captain Taffer,Капитан Таффер
Captain Tokiko,Капитан Токико
Captain Trixx,Капитан Трикс
Captain West,Капитан Уэст
Captain Yahn,Капитан Йан
Castaway Aksel,Потерпевший крушение Аксель
Castaway Alta,Альта-изгой
Castaway Amy May,Потерпевшая крушение Эми Мэй
Castaway Andersen,Потерпевший крушение Андерсен
Castaway Andie,Потерпевшая крушение Энди
Castaway Aspenson,Потерпевший крушение Аспенсон
Castaway Audine,Потерпевшая крушение Одина
Castaway Azurr,Кастауэй Азурр
Castaway Basil,Потерпевший крушение Бэзил
Castaway Beech,Потерпевший крушение Бич
Castaway Bradley,Потерпевший крушение Брэдли
Castaway Bronagh,Потерпевшая крушение Бронах
Castaway Caldus,Потерпевший крушение Кальдус
Castaway Castellian,Кастауэй Кастельиан
Castaway Clio,Клио-изгнанница
Castaway Corin,Потерпевший крушение Корин
Castaway Crushbrine,Крашбрайн-изгой
Castaway Darian,Кастауэй Дариан
Castaway Donna,Потерпевшая крушение Донна
Castaway Driftspar,Потерпевший крушение Дрифтспар
Castaway Drusus,Потерпевший крушение Друз
Castaway Fran,Потерпевшая крушение Фрэн
Castaway Gritfang,Потерпевший крушение Песчаный Клык
Castaway Hank,Потерпевший крушение Хэнк
Castaway Hookthorn,Потерпевший крушение Крючкотёрн
Castaway Jacius,Потерпевший крушение Яций
Castaway Jana,Потерпевшая крушение Яна
Castaway Jerome,Потерпевший крушение Джером
