english,translate
Offensive Protocol: Shred,Атакующий протокол: Кромсание
One Wolf Pack,Стая одного волка
One in the Chamber,Один в патроннике
One with Air,Единение с воздухом
One-Clone Heal,Исцеление одного клона
Opening Passage,Открывающий проход
Opening Strike,Начальный удар
Opening Strike has an increased chance to critically strike.,Открывающий удар имеет повышенный шанс на критическое попадание.
Oppressive Collapse,Гнетущий крах
Oppressive Gaze,Гнетущий взгляд
Oppressive Superiority,Подавляющее превосходство
Optimized Activation,Оптимизированная активация
Orb of Wrath,Сфера гнева
Orbital Command Strike,Орбитальный командный удар
Orbital Strike,Орбитальный удар
Orbital Sweep,Орбитальный взмах
Orchestrated Assault,Спланированная атака
Other Legend Healing,Исцеление от других легенд
Otter's Compassion,Сострадание выдры
Outgoing Damage Adjustment,Корректировка исходящего урона
Outgoing physical damage is increased.,Исходящий физический урон увеличен.
Outrage,Ярость
Over Shield,Сверхщит
Overbearing Smash,Властный удар
Overcharge Supply Crate,Перегрузка ящика с припасами
Overcharged Conduit Blast,Взрыв перегруженного проводника
Overcharged Shot,Перегруженный выстрел
Overclock Signet,Печать разгона
Overflowing Thirst,Переполняющая жажда
Overheat,Перегрев
Overload,Перегрузка
Overload Air,Перегрузка воздуха
Overload Earth,Перегрузка земли
Overload Fire,Перегрузка огня
Overload Water,Перегрузка воды
Overwhelming Celerity,Ошеломляющая стремительность
Overwhelming Sorrow,Ошеломляющая скорбь
Owl's Flight,Полёт совы
Pack Alpha,Вожак стаи
Pact of Pain,Пакт боли
Pages,Страницы
Pain Absorption,Поглощение боли
Pain Inverter,Инвертор боли
Pain Response,Реакция на боль
Pain Transference,Перенос боли
Painterly Stance,Живописная стойка
Panaku's Ambition,Амбиции Панаку
Panic Strike,Панический удар
Panopticon,Паноптикум
Panther's Prowl,Крадущаяся пантера
Paralyzing Venom,Парализующий яд
Parasitic Contagion,Паразитарная инфекция
Parry,Парирование
Particle Accelerator,Ускоритель частиц
Path of Gluttony,Путь чревоугодия
Path of Scars,Путь шрамов
Path to Victory,Путь к победе
Pathetic,Жалкий
Paw Swipe,Удар лапой
Payback,Расплата
Peacekeeper,Миротворец
Peak Performance,Пиковая производительность
Peck,Клевок
Pelt,Шкура
Percent Recharged on Interrupt,Процент перезарядки при прерывании
Percentage per Ally,Процент за союзника
Perfect Inscriptions,Идеальные гравировки
Perfect Storm,Идеальный шторм
Perforate,Перфорация
Perilous Gift,Опасный дар
Perilous Pulse,Опасный импульс
Perilous Skies,Опасные небеса
Periodically gain barrier for each unique boon you have.,Периодически даёт барьер за каждый лежащий на вас уникальный дар.
Permeating Pestilence,Проникающая зараза
Permeating Wrath,Проникающий гнев
Persistence of Memory,Стойкость памяти
Persistent Blessing,Постоянное благословение
Persisting Flames,Стойкое пламя
Personal Battering Ram,Персональный таран
Personal Duration,Персональная длительность
Pet Damage Increase,Увеличение урона питомца
Pet Skill Recharge,Перезарядка навыков питомца
Pet Unleashed,Питомец высвобожден
Pet's Prowess,Мастерство питомца
Petrifying Gaze,Окаменяющий взгляд
Petting Fox,Погладить лису
Phalanx Strength,Сила фаланги
Phantasm damage increased per stack.,Урон фантазмов увеличен за каждый стак.
Phantasmal Blade,Фантазматический клинок
Phantasmal Blades,Фантазматические клинки
Phantasmal Defender,Фантазм-защитник
Phantasmal Disenchanter,Фантазм-разрушитель чар
Phantasmal Duelist,Фантазм-дуэлянт
Phantasmal Force,Фантазматическая сила
Phantasmal Fury,Фантазматическая ярость
Phantasmal Haste,Фантазматическая скорость
Phantasmal Lancer,Фантазм-копейщик
Phantasmal Mage,Фантазм-маг
Phantasmal Mariner,Фантазм-моряк
Phantasmal Rogue,Фантазм-разбойник
Phantasmal Sharpshooter,Фантазм-стрелок
