english,translate
Iron Wall 60 x 240,Железная стена 60 x 240
Iron Wall 600 x 240,Железная стена 600 x 240
Iron Wall 960 x 240,Железная стена 960 x 240
Iron Window,Железное окно
Island Fern,Островной папоротник
Island Fern (Large),Островной папоротник (большой)
Island Fern (Varied),Островной папоротник (разный)
Island Pitcher Plant Patch,Пятно кувшинков на острове
Island Shrub,Островной куст
Island Shrub (Bunch),Островной кустарник (пучок)
Island Tree (Curved),Островное дерево (изогнутое)
Island Tree (Short),Островное дерево (короткое)
Island Tree (Tall),Островное дерево (высокое)
Jack-o'-Lantern,Тыква Джека
Jackal Rental Post,Стойка аренды шакалов
Jade Bot Workbench,Верстак нефритового бота
Jolly Bow,Весёлый лук
Jormag Hologram Generator,Генератор голограммы Йормага
Jorms Plush,Плюшевый Йорм
Jukebox,Музыкальный автомат
Jungle Bush,Кустарник джунглей
Jungle Log,Джунглевое бревно
Jungle Log Arched,Арка из брёвен джунглей
Jungle Plant,Растение джунглей
Keep Construct Rubble,Обломки Хранителя-конструкта
Keg,Бочка
Keg Rack,Стойка для бочек
Kormir Statue,Статуя Кормир
Kournan Brazier,Курнанская жаровня
Kryptis Bush,Куст криптисов
Kryptis Door (Tall and Wide),Дверь криптисов (высокая и широкая)
Kryptis Goo Plane,Плоскость слизи криптисов
Kryptis Pillar,Колонна криптисов
Kryptis Platform,Платформа криптисов
Kryptis Square Floor,Квадратный пол криптисов
Kryptis Stair,Лестница криптисов
Kryptis Wall,Стена криптисов
Krytan Garden Column,Крайтанская садовая колонна
Large Block of the Solid Ocean,Большой блок Твёрдого океана
Large Crystal Block of the Solid Ocean,Большой кристаллический блок Твёрдого океана
Large Cube of Snow,Большой куб снега
Large Cuboid of Snow,Большой снежный параллелепипед
Large Female Norn Holo-Dancer,Большая голограмма танцовщицы-норна
Large Festival Tent,Большая фестивальная палатка
Large Hemisphere of Snow,Большая полусфера из снега
Large Male Norn Holo-Dancer,Большая голограмма танцора-норна
Large Square Pillar,Большая квадратная колонна
Large Wave of the Solid Ocean,Большая волна Твёрдого океана
Large Wedge of Snow,Большой клин снега
Largos Platform,Платформа ларгосов
Lattice,Решётка
Lattice Arbor,Решётчатая беседка
Lattice Planter,Решётчатое кашпо
Lattice Planter with Blue Petunias,Решётчатое кашпо с голубыми петуниями
Lattice Planter with Daisies,Решётчатое кашпо с маргаритками
Lattice Planter with Loosestrife,Решётчатое кашпо с вербейником
Lattice Planter with Orange Petunias,Решётчатое кашпо с оранжевыми петуниями
Lattice Planter with Red Petunias,Решётчатое кашпо с красными петуниями
Leaping Lion Statue,Статуя прыгающего льва
Leather Synthesizer 1,Кожаный синтезатор 1
Leather Synthesizer 2,Кожаный синтезатор 2
Leather Synthesizer 3,Кожаный синтезатор 3
Leather Synthesizer 4,Кожаный синтезатор 4
Leather Synthesizer 5,Кожаный синтезатор 5
Leopard Totem,Тотем леопарда
Library Shelf,Библиотечная полка
Light-Blue Wintersday Gift,Светло-голубой подарок Wintersday
Lightning Aspect Crystal,Кристалл аспекта молнии
Lion Fountain,Львиный фонтан
Lion Statue,Статуя льва
Lit Wagon,Зажженная телега
Loaded Wagon,Загруженная повозка
Long Fancy Table,Длинный изысканный стол
Lounging Tiger Statue,Статуя отдыхающего тигра
Lumber Synthesizer 1,Синтезатор древесины 1
Lumber Synthesizer 2,Синтезатор древесины 2
Lumber Synthesizer 3,Синтезатор древесины 3
Lumber Synthesizer 4,Синтезатор древесины 4
Lumber Synthesizer 5,Синтезатор древесины 5
Lunar Arch,Лунная арка
Lynx Statue,Статуя рыси
Mad Moon,Безумная луна
Maddening Tower,Безумная башня
Majority Disciplines Research Commemorative Statue,Памятная статуя исследований большинства дисциплин
Male Norn Holo-Dancer,Голограмма танцора-норна
Market Restoration 1,Восстановление рынка 1
Market Restoration 2,Восстановление рынка 2
Massive Balloon Bouquet,Огромный букет из воздушных шаров
Mast Pole,Мачта
Master Brewer's Keg,Бочка мастера-пивовара
Mausoleum,Мавзолей
Mimosa Tree,Мимоза
Mine Excavation 1,Раскопки шахты 1
Mine Excavation 2,Раскопки шахты 2
Mine Excavation 3,Раскопки шахты 3
Miniature Joko Bust (for Personal Worship),Миниатюрный бюст Джоко (для личного поклонения)
Miniature Majestic Joko (for Personal Worship),Миниатюрный величественный Джоко (для личного поклонения)
Mining Rate 1,Скорость добычи 1
Mining Rate 2,Скорость добычи 2
Mining Rate 3,Скорость добычи 3
Mining Rate 4,Скорость добычи 4
Mining Rate 5,Скорость добычи 5
Mining Rate 6,Скорость добычи 6
Minor Supply Drop,Малый сброс припасов
Mint-Pear Cured Meat Flatbread,Лепёшка с мятно-грушевым вяленым мясом
Mists Dolyak Statue,Статуя дольяка Туманов
Mists Drake Statue,Статуя дрейка Туманов
Mists Griffon Statue,Статуя грифона Туманов
Mists Minotaur Statue,Статуя минотавра Туманов
Mists Rock Dog Statue,Статуя каменного пса Туманов
Monkey Statue,Статуя обезьяны
Mordremoth Mandible,Мандибула Мордремофа
Mordy Plush,Плюшевый Морди
Mossy Pillar,Мшистая колонна
Mounted Dolyak Head,Голова дольяка на подставке
Mythwright Gambit Pillar,Колонна «Гамбит мифотворца»
Nautical String Lights,Нитяные гирлянды
Netted Crates,Сетчатые ящики
Norn Brazier,Норнская жаровня
Norn Stair,Норнская лестница
Norn Stone Structure,Каменное строение норнов
Norn Structure,Строение норнов
Norn Summit Banner,Знамя Вершины норнов
Norn Summit Flag,Норнский вершинный флаг
Oakheart's Essence,Эссенция Дубового Сердца
Objective Aura 1: Supply Capacity,Аура цели 1: Вместимость припасов
Objective Aura 2: WvW Experience,Аура цели 2: Опыт в WvW
Objective Aura 3: Movement Speed,Аура цели 3: Скорость передвижения
Objective Aura 4: Power,Аура цели 4: Сила
Objective Aura 5: Precision,Аура цели 5: Точность
Objective Aura 6: Toughness,Аура цели 6: Стойкость
Objective Aura 7: Vitality,Аура цели 7: Живучесть
Objective Aura 8: Magic Find,Аура цели 8: Поиск магии
Obstacle: Blue Torch,Препятствие: Синий факел
Obstacle: Chill Turret,Препятствие: Турель холода
Obstacle: Cripple Turret,Препятствие: Турель калечения
Obstacle: Fan Trap,Препятствие: Вентиляторная ловушка
Obstacle: Fear Turret,Препятствие: Турель страха
