english,translate
Leanne,Лианн
Leather Straps,Кожаные ремни
Leberum Scattercinder,Леберум Разбрасыватель Пепла
Leelee,Лили
Leemoola,Лимула
Leeneeta,Линита
Leeza,Лиза
Left Arm,Левая рука
Left Shield Generator,Левый генератор щита
Leftpaw,Леволап
Legavo,Легаво
Legendary,Легендарный
Legendary Archdiviner,Легендарный архипрорицатель
Legendary Assassin Stance,Стойка легендарного ассасина
Legendary Astral Ward Mage,Легендарный маг Астрального ордена
Legendary Astral Ward Protector,Легендарный защитник Астрального ордена
Legendary Bandit Executioner,Легендарный палач бандитов
Legendary Blighted Beast,Легендарный зараженный зверь
Legendary Blue Dynamic Assault Knight,Легендарный синий динамический штурмовой рыцарь
Legendary Cave Troll,Легендарный пещерный тролль
Legendary Centaur Stance,Стойка легендарного кентавра
Legendary Clockheart,Легендарное часовое сердце
Legendary Destroyer Ignis,Легендарный разрушитель Игнис
Legendary Giant,Легендарный великан
Legendary Green Synergetic Assault Knight,Легендарный зелёный синергетический штурмовой рыцарь
Legendary Ice Elemental,Легендарный ледяной элементаль
Legendary Iceborn Hydra,Легендарная ледяная гидра
Legendary Icebrood Construct,Легендарный ледяной конструкт
Legendary Jaddeor Icefist,Легендарный Джаддеор Ледяной Кулак
Legendary Jotun Stargazer,Легендарный йотун-звездочет
Legendary Karka Queen,Легендарная королева карок
Legendary Lord Jasska the Bold,Легендарный лорд Джасска Отважный
Legendary Mordant Crescent Hierarch,Легендарный иерарх Мордантского полумесяца
Legendary Rampaging Ice Elemental,Легендарный неистовый ледяной элементаль
Legendary Royal Terrace Greeter,Легендарный привратник Королевской террасы
Legendary Sentient Conduit,Легендарный разумный проводник
Legendary Shaman Lornarr Dragonseeker,Легендарный шаман Лорнарр Драконоборец
Legendary Skeletal Lich,Легендарный скелет-лич
Legendary Skritt Burglar,Легендарный вор-скритт
Legendary Spellmaster Macsen,Легендарный мастер заклинаний Максен
Legendary Svánigandr,Легендарный Сванигандр
Legendary Target Golem—Stonemist Lord,Легендарный тренировочный голем — Лорд Каменного Тумана
Legendary Unbound Guardian,Легендарный несвязанный страж
Legendary Whispering Shadow,Легендарная шепчущая тень
Legends,Легенды
Legion Combat Devourer,Боевой пожиратель Легиона
Legion Delegate,Делегат Легиона
Legionnaire,Легионер
Legionnaire Aestiva Scribesort,Легионер Эстива Писарь
Legionnaire Angar Keenblade,Легионер Ангар Меткоклин
Legionnaire Broadhackle,Легионер Широкоруб
Legionnaire Burnwhite,Легионер Burnwhite
Legionnaire Caym Steelheart,Легионер Кейм Стальное Сердце
Legionnaire Cruelshot,Легионер Жестокострел
Legionnaire Deeprend,Легионер Глубокий Разрез
Legionnaire Duskhunter,Легионер Сумраколов
Legionnaire Duvarre Swiftlash,Легионер Дюварр Быстрый Удар
Legionnaire Faithbreaker,Легионер Фейтбрейкер
Legionnaire Marius Skullbasher,Легионер Мариус Череполом
Legionnaire Neverburn,Легионер Несгораемый
Legionnaire Rockflinger,Легионер Камнемет
