english,translate
Super Cloud Wall,Супер облачная стена
Super Flower,Супер цветок
Super Forest House,Супер лесной дом
Super Giant Cloud,Супер гигантское облако
Super Grand Gate,Супер огромные ворота
Super Grumpy Cloud,Супер угрюмое облако
Super Guild Anthem,Супер-гимн гильдии
Super Happy Cloud,Супер радостное облако
Super Ice Wall,Супер ледяная стена
Super King Frog,Супер король-лягушка
Super Large Rock,Супер большой камень
Super Leaf Platform,Супер платформа из листьев
Super Lily Pad,Супер кувшинка
Super Mountain,Супер гора
Super Mushroom,Супер гриб
Super Mushroom Platform,Супер грибная платформа
Super Owl Statue,Статуя супер-совы
Super Pagoda Arch,Арка супер-пагоды
Super Pagoda Column,Колонна супер-пагоды
Super Pagoda Deck,Палуба супер-пагоды
Super Pagoda Door,Супер дверь пагоды
Super Pagoda Floor,Пол супер-пагоды
Super Pagoda Long Roof,Длинная крыша супер-пагоды
Super Pagoda Pond,Пруд супер-пагоды
Super Pagoda Roof,Супер-крыша пагоды
Super Pagoda Wall,Стена супер-пагоды
Super Pine Tree,Супер сосна
Super Pointing Flat Glad Hand,Указующая плоская радостная рука
Super Pointing Flat Hand,Супер плоская рука с указательным пальцем
Super Pointing Flat Sad Hand,Супер плоская грустная рука
Super Pointing Glad Hand,Супер указывающая радостная рука
Super Pointing Hand,Супер указующий перст
Super Pointing Sad Hand,Супер печальная рука с указующим жестом
Super Rainbow Arch,Супер радужная арка
Super Rapids Pillar,Столп Супер-Стремнины
Super Rapids Plateau,Плато супер-быстрин
Super Red Crystal,Супер красный кристалл
Super Rock,Супер камень
Super Rock Platform,Супер каменное плато
Super Rock Ramp,Супер каменный пандус
Super Rock Wall,Супер каменная стена
Super Short Cliff Face,Супер короткий обрыв скалы
Super Small Rock,Маленький камень супер
Super Snow Floor,Супер снежный пол
Super Snowy Cliff Face,Супер снежный утёс
Super Tall Cliff Face,Высокий утёс супер
Super Tree,Супер дерево
Super Tree Branch,Ветка супердерева
Super Tree Trunk,Супер ствол дерева
Superior Arrow Cart Siege,Улучшенная осадная стреломётная пушка
Superior Ballista Siege,Улучшенная осадная баллиста
Superior Catapult Siege,Улучшенная осадная катапульта
Superior Flame Ram Siege,Высшая осадная огненная таран
Superior Golem Siege,Высший осадный голем
Superior Shield Generator Siege,Высшее осадное устройство для генератора щита
Superior Trebuchet Siege,Осадная требушет превосходного качества
Sylvari Summit Banner,Сильварийское знамя саммита
Sylvari Summit Flag,Сильварийский флаг саммита
Synthesis Output 1,Результат синтеза 1
Synthesis Output 2,Результат синтеза 2
Synthesis Output 3,Результат синтеза 3
Synthesis Output 4,Результат синтеза 4
Tall Academic Arch,Высокая академическая арка
Tall Candlestick,Высокий подсвечник
Tall Elonian Column,Высокая элонская колонна
Tall Lattice,Высокая решётка
Tall Ship Stairs,Корабельная лестница
Tavern Restoration 1,Восстановление таверны 1
Tavern Restoration 2,Восстановление таверны 2
Teleporter Entrance,Вход телепорта
Teleporter Exit,Выход телепорта
Tequatl Tailbone,Хвостовая кость Текватля
The Heart of the Priory,Сердце Приората
Thick Drizzlewood Coast Tree,Толстое дерево Побережья Мороси
Thin Candlestick,Тонкий подсвечник
Thorny Jack-o'-Lantern,Колючий фонарь из тыквы
Thorny Mushroom,Колючий гриб
Tiger,Тигр
Tiger Statue,Статуя тигра
Toymaker's Machine,Машина игрушечника
Tray of Eggnog,Поднос с яичным гоголем
Trebuchet Blueprints,Чертежи требушета
Trebuchet Siege,Осада требушета
Trimmed Wall (960 x 240),Стена с отделкой (960 x 240)
Triple Trouble Tooth,Зуб тройной беды
Triumphant Dragon Bash Poster,Плакат «Триумфальный праздник драконов»
Tropical Bridge,Тропический мост
Tropical Bush,Тропический куст
Tropical Bush (Tall),Тропический куст (высокий)
Tropical Shrub,Тропический куст
Twin Largos' Token,Жетон близнецов-ларгосов
Typical Drizzlewood Coast Tree,Типичное дерево побережья Мороси
Tyrian Globe,Глобус Тирии
Unchained Platform,Освобождённая платформа
Unimpressive King Frog,Невпечатляющий король-лягушка
Ura's Token (Guild Decoration),Жетон Уры (украшение гильдии)
Vale Guardian Pieces,Части Стража Долины
Vale Guardian Pylon,Пилон стража долины
Vault Transport,Транспорт хранилища
Victorious Dragon Bash Poster,Плакат «Победоносный праздник драконов»
Vined Lattice,Увитая лозой решётка
Visage of Madness,Лик безумия
Wagon,Повозка
Wall (120 x 120),Стена (120 x 120)
Wall (120 x 240),Стена (120 x 240)
Wall (120 x 60),Стена (120 x 60)
Wall (240 x 120),Стена (240 x 120)
Wall (240 x 240),Стена (240 x 240)
Wall (60 x 120),Стена (60 x 120)
Wall (60 x 240),Стена (60 x 240)
Wall (600 x 240),Стена (600 x 240)
Wall (960 x 240),Стена (960 x 240)
Wall Bracket Corner,Настенный угловой кронштейн
Wall Bracket Half (480),Настенный кронштейн половина (480)
Wall Bracket Half (960),Настенный кронштейн половина (960)
Wall Gable 360 x 100,Фронтон стены 360 x 100
Wall Gable 360 x 100 Mirror,Зеркальный фронтон стены 360 x 100
Wall Gable 360 x 200,Фронтон стены 360 x 200
Wall Gable 360 x 200 Mirror,Зеркальный фронтон стены 360 x 200
Wall Gable 720 x 100,Фронтон стены 720 x 100
Wall Gable 720 x 200,Фронтон стены 720 x 200
Wall Window 120 x 240,Окно стены 120 x 240
War Room Restoration 1,Восстановление военного зала 1
War Room Restoration 2,Восстановление военного зала 2
Warclaw Rental Post,Стойка аренды боевого когтя
Watchtower,Сторожевая башня
Wave of the Solid Ocean,Волна сплошного океана
Weathered Elonian Arch,Выветренная элонская арка
Weathered Elonian Column,Выветренная элонская колонна
Weathered Elonian Obelisk,Выветренный элонский обелиск
Wedge of Snow,Клинок снега
Well,Колодец
White Balloon,Белый шар
White Flag,Белый флаг
White Mantle Abomination Crystal,Кристалл мерзости Белой Мантии
White Mantle Statue,Статуя Белой Мантии
White Mantle Turret,Турель Белой Мантии
White Wintersday Gift,Белый подарок Зимнего дня
Wide Entryway Wall (Single),Широкая входная стена (одинарная)
Wide Library Shelf,Широкая библиотечная полка
Wind Aspect Crystal,Кристалл аспекта ветра
Windmill Wheel,Колесо ветряной мельницы
Window,Окно
Windowed Wall (600 x 240),Стена с окном (600 x 240)
Windowed Wall (960 x 240),Стена с окном (960 x 240)
Wintersday Garland,Зимняя гирлянда
Wintersday Music Platform,Музыкальная платформа Зимнего дня
Wintersday Star,Звезда Зимнего дня
