english,translate
Knut Whitebear's Loft,Чердак Кнута Белого Медведя
Koda's Tears,Слёзы Коды
Koda's Welcome Waypoint,Путевая точка: Приветствие Коды
Kodan Shipwreck,Кораблекрушение коданов
Kodan's Leap,Прыжок Кодана
Kodash Bazaar,Базар Кодаш
Kodonur Crossing,Переправа Кодонур
Kodonur Temple,Храм Кодонур
Koga Ruins,Руины Кога
Kolkorensburg,Колкоренсбург
Koofooloo,Куфулу
Koolookuu,Кулуку
Korakatt's Hall,Зал Коракатта
Kormir High Road,Верхняя дорога Кормир
Kormir Low Road,Нижняя дорога Кормир
Kormir Waypoint,Путевая точка Кормир
Kormir's Reverence,Почтение Кормир
Krait's Larder,Ларь Крайта
Kraitbane Haven Waypoint,Путевая точка Убежища Крайтбейна
Kralkatorrik's Emergence Zone,Зона появления Кралькаторрика
Krennak's Homestead Waypoint,Путевая точка Усадьбы Креннака
Kresdor Kenning,Кресдор Кеннинг
Krok's Ruin,Руины Крока
Krongar Pass,Перевал Кронгар
Krongar Waypoint,Путевая точка Кронгар
Kropa Village,Деревня Кропа
Kropa Waypoint,Путевая точка Кропа
Kryptis Front Line,Линия фронта Криптисов
Kryta,Крайта
Krytan Freeholds,Крайтанские владения
Krytan Waypoint,Путевая точка Крайты
Kuan Jun Pavilion,Павильон Куан Джун
Kudu's Crucible,Горнило Куду
Kusini Crossing,Переправа Кусини
Kusini Water Hole,Водопой Кусини
Kyesjard,Кьесджард
Lab Sigma-05,Лаборатория Сигма-05
Labor Camp,Трудовой лагерь
Laboratory CAS-U-5,Лаборатория CAS-U-5
Labyrinthine Cliffs,Лабиринтовые скалы
Labyrinthine Mountains,Лабиринтовые горы
Lahdok Craterlands,Кратерные земли Лахдока
Lair of the Beast,Логово Зверя
Lair of the Coil,Логово Спирали
Lair of the Forgotten,Логово Забытых
Lair of the Forgotten Waypoint,Путевая точка Логова Забытых
Lair of the Patriarch,Логово Патриарха
Lair of the Seawitch,Логово Морской Ведьмы
Lair of Zommoros,Логово Зоммороса
Lake Adorea,Озеро Адорея
Lake Bounty,Озеро Баунти
Lake Carnifex,Озеро Карнифекс
Lake Delavan,Озеро Делаван
Lake Desolann,Озеро Дезоланн
Lake Doric,Озеро Дорик
Lake Doric (Private),Озеро Дорик (частное)
Lake Doric (Public),Озеро Дорик (публичное)
Lake Feritas,Озеро Феритас
Lake Gendarr,Озеро Гендарр
Lake Lutgardis,Озеро Лутгардис
