english,translate
Shaman's Zweihänder of the Geomancer,Двуручный меч шамана-геоманта
Shank Breastplate,Нагрудник Шанка
Shank Coat,Куртка Шанка
Shank Dagger,Кинжал Шанка
Shank Garb,Одеяние Шанка
Shank Greatsword,Двуручный меч Шанка
Shank Sword,Меч Шанка
Shard o' War,Осколок войны
Shard of Arah,Осколок Араха
Shard of Bava Nisos,Осколок Бава-Нисоса
Shard of Crystal,Осколок кристалла
Shard of Crystallized Blood of Jormag,Осколок кристаллизованной крови Йормаги
Shard of Crystallized Mists Essence,Осколок кристаллизованной эссенции Туманов
Shard of Crystallized Resonance,Осколок кристаллизованного резонанса
Shard of Decay,Осколок разложения
Shard of Duskk,Осколок Сумрака
Shard of Elemental Ice,Осколок стихийного льда
Shard of Endeavor,Осколок Упорства
Shard of Friendship,Осколок дружбы
Shard of Glory,Осколок Славы
Shard of Ice,Осколок льда
Shard of Janthir Syntri,Осколок Янтир Синтри
Shard of Liturgy,Осколок литургии
Shard of Lowland Shore,Осколок Прибрежной Равнины
Shard of Mistburned Barrens,Осколок Иссохших Пустошей
Shard of Zhaitan,Осколок Zhaitan
Shard of the Crown,Осколок Короны
Shard of the Dark Arts,Осколок Тёмных Искусств
Shard of the Deep,Осколок Глубин
Shard of the Homestead,Осколок Дома
Shards of Glory Converter,Конвертер осколков славы
Shark Figurine,Статуэтка акулы
Shark Fin,Плавник акулы
Shark Rank Finisher,Добивание ранга «Акула»
Shark Token,Жетон акулы
Shark Tonic,Тоник «Акула»
Shark's Tooth Axe Skin,Облик топора «Зуб акулы»
Shark's Tooth Sword Skin,Облик меча «Зуб акулы»
Sharkbait,Приманка для акул
Sharp Claw,Острый коготь
Sharp Fang,Острый клык
Sharp Sword,Острый Меч
Sharp Talon,Острый птичий коготь
Sharpened Flint,Заточенный кремень
Sharpened Seraph-Issue Axe,Заточенный серафимский топор
Sharpening Skull,Точильный череп
Sharptail Longbow,Длинный лук острохвоста
Sharptail Short Bow,Короткий лук острохвоста
Shattered Axe,Раздробленный топор
Shattered Bloodstone Circlet,Венец из осколков кровавого камня
Shattered Bloodstone Circlet Skin,Облик диадемы из разбитого кровавого камня
Shattered Bloodstone Glider,Планёр «Разбитый кровавый камень»
Shattered Cathedral Glider,Планёр «Разрушенный собор»
Shattered Chest Lid,Разбитая крышка сундука
