english,translate
Winterknell Isle,Остров Зимнего Звона
Winterknell Labyrinth,Лабиринт Зимнего Звона
Winterknell Shore,Берег Зимнего Звона
Winterthaw Snowfield,Снежное поле Зимней Оттепели
Winterthaw Waypoint,"Перекрёсток «Зимний оттепель»"
Witherflank River,Река Увядшего Бока
Within Your Grasp: Ritual Grounds,В твоих руках: Ритуальные земли
Witman's Ice Shelf,Ледяной шельф Уитмена
Wizard's Ascent,Восхождение Волшебника
Wizard's Fief,Владения Волшебника
Wizard's Respite,Привал Волшебника
Wizard's Tower,Башня Волшебника
Wizard's Tower South Gate,Южные ворота Башни Волшебника
Wizard's Trial,Испытание Волшебника
Wizard's Vault,Хранилище Волшебника
Wodron Glens,Долины Водрона
Wolf Hallow,Волчья лощина
Wolf Lodge,Волчья хижина
Wolf Waypoint,Путевая точка Волка
Wolf's Crossing,Волчий переход
Wolf's Crossing Bridge,Мост Волчьей переправы
Wolf's Lair Shrine,Святилище Волчьего логова
Wolfpaw Shrine,Святилище Волчьей лапы
Wonderous Drill Installation #73,Чудесная буровая установка №73
Woodhaven,Лесная Гавань
Woodhaven Tower,Башня Лесной Гавани
Woodland Cascades,Лесные водопады
Workshop,Мастерская
World vs. World,World vs. World
Wraithwalker Woods,Леса Призрачного Странника
Wrathwave Deeps,Глубины Волны Гнева
Wreck of the Argent Warrior,Обломки «Серебряного воина»
Wreck of the Lethal Vantage,Обломки «Смертельного преимущества»
Wreck of the Mellaggan's Valor,Обломки «Доблести Меллагган»
Wreck of the Qashvian,Обломки «Кашвиана»
Wreck of the Scimitar,Обломки «Скимитара»
Wreck of the Thunderbreaker,"Обломки «Громовержца»"
Wreck of the Yesteryear,Обломки «Прошлого»
Wreckage of Bloodgorge Watch Waypoint,Руины путевой точки Бладгорж-Уотч
Wreckage of Day's Labor,Руины «Дневного труда»
Wreckage of Doomspy's Watch,Обломки сторожевой башни Думсп
Wreckage of Serenity,Руины Безмятежности
Wreckage of the Breachmaker,Обломки «Бричмейкера»
Wren Waypoint,Путевая точка Рен
Wrightstone Chantry,Обитель Райтстоун
Wry Lichen's House,Дом Кривого Лишайника
Wurm Tunnel,Туннель червя
Wurm's Furnace,Горн червя
Wurmhaven,Вурмхейвен
Wurmhowl Spikes,Шипы Вурмхаула
Wurmmarshal's Encampment,Лагерь Вурммаршала
Wychmire Swamp,Болото Вичмайр
Wychmire Waypoint,Путевая точка Вичмайр
Wynchona Rally Point Waypoint,Точка сбора у Винчоны
Wynchona Woods,Леса Винчона
Wyrmblood Lake,Озеро Крови виверны
Wyrmblood Waypoint,Путевая точка Крови виверны
Wyvern Cliffs,Утесы виверн
Wyvern Nest,Гнездо виверны
Wyvern Roost,Насест виверны
Wyvern Scar,Шрам виверны
Wyvern's Den,Логово виверны
Xenarius Bayt,Залив Ксенариус
Xenarius Waypoint,Путевая точка Ксенариус
Xiko Refugee Camp,Лагерь беженцев Ксико
Xinrae's Wharf,Причал Ксинрэ
Xunlai Jade Junkyard,Нефритовая свалка Сюньлай
Xunlai Jade Junkyard Outpost E-1,Аванпост нефритовой свалки Сюньлай E-1
Xunlai Jade Museum,Нефритовый музей Сюньлай
Xunlai Jade Quarry,Нефритовый карьер Сюньлай
Yagon's Gift,Дар Ягона
Yahnur Plateau,Плато Янур
Yak's Bend Waypoint,Путевая точка Як-Бенд
Yakkington's Toil,Труд Яккингтона
Yarrow's Perch,Насест Ярроу
Yatendi Farm,Ферма Ятенди
Yatendi Village,Деревня Ятенди
Yatendi Village Waypoint,Путевая точка деревни Ятенди
Yohlon Bluffs,Утесы Йолон
Zagonur Cliffs,Утесы Загонур
Zaishen Antheneum,Атенеум Зайшен
Zak's Overlook,Смотровая Зака
Zalambur's Office,Офис Заламбура
Zalten Mines,Шахты Зальтена
Zalten Mines Waypoint,Путевая точка шахт Залтен
Zayan Gate,Заянские врата
Zealot's Bastion,Бастион фанатиков
Zealot's Overlook Waypoint,Путевая точка смотровой площадки фанатиков
Zehlon Breach,Пролом Зелон
Zehlon Waterworks,Водопровод Зелон
Zelbahn Garrison,Гарнизон Зельбан
Zelechor Hot Springs Waypoint,Путевая точка горячих источников Зелехор
Zen Daijun,Зен Дайцзюнь
Zen Daijun Hideaway,Убежище Зен Дайцзюнь
Zen Daijun Temple,Храм Зен Дайцзюнь
Zephyr's Trace,След Зефира
Zeta Vault,Зета-хранилище
Zhaitan's Last Stand,Последний рубеж Зайтана
Zhaitan's Rest,Покой Зайтана
Zho'qafa Catacombs,Катакомбы Чо'кафа
Zinder Slope,Склон Зиндер
Zintl Holy Grounds Waypoint,Путевая точка священных земель Зинтл
Zojja's Workstation (Don't Touch!),Верстак Зодджи (Не трогать!)
Zone Black,Зона: Чёрная
Zone Blue (Under Construction),Зона: Синяя (Строится)
Zone Green,Зона: Зелёная
Zone Red,Зона: Красная
Zone Violet,Зона: Фиолетовая
Zone White,Зона: Белая
Zopatl Grounds,Зопатльские земли
Zraith's Beacon,Маяк Зрейта
Zu Heltzer Historical Site,Историческое место Зу Хельцер
Zuckermaloo,Цукермалу
