english,translate
Brandstorm Dye,Краска «Буря Клейма»
Brandt,Брандт
Brandywine,Бренди
Brandywine Dye,Краска «Брендивайн»
Brass,Латунный
Brass Airfoil,Латунное крыло
Brass Dye,Краска «Латунь»
Brassclaw Mantle,Накидка Латунного Когтя
Brassclaw Pauldrons,Наплечники Латунного Когтя
Brassclaw Pistol,Пистолет Латунного Когтя
Brassclaw Shoulderpads,Оплечья Латунного Когтя
Brawler's Silk Jacket Skin,Облик шёлковой куртки драчуна
Brawn of Koda,Мощь Коды
Brazier of the Broken Voice,Жаровня Разбитого Голоса
Brazier of the Scion,Жаровня Отпрыска
Brazier of the Sunless,Жаровня Бессолнечного
Breachmaker Drive Loop,Приводной контур «Прорывателя»
Breachmaker Micro Mk5,Микро-«Прорыватель» Mk5
Bream,Лещ
Breath of Flame,Дыхание пламени
Breath of Kralkatorrik,Дыхание Кралькаторрика
Breech Loaders,Казнозарядные ружья
Breekeelee Friendship Bracelet,Браслет дружбы Брикили
Breeze Dye,Краска «Бриз»
Breeze Rider Essence,Эссенция наездника ветра
Breeze Rider Tentacle,Щупальце наездника ветра
Breezeborne Pyxis,Ветроносный пиксид
Breezy Swim Bottoms,Плавательные шорты «Бризи»
Breezy Swim Bottoms Skin,Облик плавок «Ветерок»
Breezy Swim Pack,Набор для плавания «Ветерок»
Breezy Swim Top,Топ для плавания «Бризи»
Breezy Swim Top Skin,Облик купального топа «Ветерок»
Brewery Chair,Стул пивоварни
Brewmaster's Backpack,Рюкзак пивовара
Brewmaster's Backpack Kit,Набор рюкзака пивовара
Brewmaster's Backpack Skin,Облик рюкзака пивовара
Bria's Menace,Угроза Брии
Briar Cloth Leggings,Тканевые поножи из терновника
Briar Leather Leggings,Кожаные поножи из терновника
Briar Mace,Терновая булава
Briar Metal Leggings,Латные поножи из терновника
Briar Sword,Терновый меч
Briar Ward,Терновый заслон
Briarthorn Dagger,Кинжал из терновника
Brick,Кирпичный
Brick Dye,Краска «Кирпич»
Brick of Clay,Брусок глины
Bright Inquisitor Axe,Яркий топор инквизитора
Bright Inquisitor Axe Skin,Облик топора «Яркий инквизитор»
Bright Inquisitor Dagger,Яркий кинжал инквизитора
Bright Inquisitor Dagger Skin,Облик кинжала «Яркий инквизитор»
Bright Inquisitor Focus,Яркий фокус инквизитора
