english,translate
Weaver,Ткач
Weaver's Prowess,Мастерство ткача
Web Net,Сеть паутины
Web Pull,Притягивание паутиной
Web Spray,Распыление паутины
Weeping Shots,Плачущие выстрелы
Weight of Justice,Бремя правосудия
Weighty Terms,Весомые аргументы
Well of Action,Колодец действия
Well of Bounty,Колодец щедрости
Well of Corruption,Колодец порчи
Well of Darkness,Колодец тьмы
Well of Eternity,Колодец вечности
Well of Gloom,Колодец мрака
Well of Power,Колодец силы
Well of Precognition,Колодец предвидения
Well of Senility,Колодец дряхлости
Well of Silence,Колодец тишины
Well of Sorrow,Колодец скорби
Well of Suffering,Колодец страданий
Well of Tears,Колодец слёз
Well of the Profane,Колодец осквернения
Wellspring,Источник
Whack,Удар
Whiplash,Хлыст
Whirligig,Вертушка
Whirling Defense,Вращающаяся защита
Whirling Light,Вращающийся свет
Whirling Slash,Вращающийся удар
Whirling Stones,Вращающиеся камни
Whirling Strike,Вращающаяся атака
Whirling Wrath,Вихрь гнева
Whirlpool,Водоворот
Whirlwind,Вихрь
Who Rescues Whom?,Кто кого спасает?
Wicked Corruption,Злое Искажение
Wicked Spiral,Злая спираль
Wicked Strike,Злой удар
Wicked Swipe,Злой взмах
Wielder's Boon,Дар Владельца
Wild Blow,Дикий удар
Wild Claws,Дикие когти
Wild Strike,Дикий удар
Wild Strikes,Дикие удары
Wild Swing,Дикий взмах
Wild Throw,Дикий бросок
Wild Whirl,Дикий вихрь
Wilderness Knowledge,Знание Дикой Природы
Wilderness Survival,Выживание в дикой природе
Willbender,Укротитель
Willbender Training,Тренировка Волнолома
Willing Host,Готовность к Принятию
Wilting Strike,Увядающий Удар
Wind Blast,Взрыв ветра
Wind Burst,Порыв ветра
Wind Force Threshold for Hawkeye,Порог Силы Ветра для Соколиного Глаза
Wind Shear,Сдвиг ветра
Wind Slam,Удар ветра
Wind Storm,Штормовой ветер
Windborne Notes,Заметки Ветрокрылых
Windborne Speed,Скорость ветра
Winds of Disenchantment,Ветры разочарования
Winds of Jormag,Ветры Jormag
Wing Buffet,Удар крылом
Wings of Rage,Крылья ярости
Wings of Resolve,Крылья решимости
Winter's Bite,Укус зимы
Wintersday Aura,Аура Дня зимы
Wintry Orb,Зимняя сфера
Wisp of Will,Огонёк воли
Withdraw,Отступление
Withering Plague,Увядающая чума
Wolf's Onslaught,Натиск волка
Wolfsong,Песнь Волка
Words of Censure,Слова Осуждения
Worldly Impact,Мировое воздействие
Wounding Precision,Ранящая Точность
Wounding Strike,Ранящий удар
Woven Air,Сплетенный воздух
Woven Earth,Сплетенная земля
Woven Fire,Сплетенный огонь
Woven Stride,Сотканный Шаг
Woven Water,Сплетенная вода
Wraith's Lightning,Молния призрака
Wrath of Justice,Гнев Правосудия
Wrathful Grasp,Гневный захват
Wrathful Strike,Гневный удар
Wrecking Ball,Таран
Writ of Persistence,Указ Упорства
Written in Stone,Написано на Камне
Wrought-Iron Will,Железная Воля
Wurm Spit,Плевок червя
Wuthering Wind,Завывающий ветер
Wyvern's Lash,Удар виверны
Xera's Fury,Ярость Xera
Xinrae's Weapon,Оружие Ксинры
Yearning Empowerment,Горящее Усиление
You Will Join Us,Вы присоединитесь к нам
You and your pet gain protection when you dodge roll.,"Вам и вашему питомцу даруется протекция, когда вы совершаете уворот."
