english,translate
Excellent choice. You're on your way to getting results. See you outside Councillor Flax's lab.,Отличный выбор. Ты на верном пути к результату. Увидимся снаружи лаборатории Councillor Flax.
Excellent idea.,Отличная идея.
"Excellent idea. It's time we move on to an experiment. So, are you all ready for a fun hands-on activity?","Отличная идея. Пора переходить к эксперименту. Итак, вы все готовы к веселому практическому занятию?"
Excellent job! I knew you could handle it. I look forward to reading your report.,"Отличная работа! Я знала, что вы справитесь. С нетерпением жду вашего отчёта."
"Excellent just excellent! Honestly, I don't know why anyone works with anyone else.","Отлично, просто отлично! Честно говоря, не понимаю, зачем кому-то работать с кем-либо ещё."
Excellent lever-pulling technique. I'm sure the Iron Legion could use someone like you.,"Превосходная техника работы с рычагами. Уверен, Iron Legion не помешал бы такой специалист, как вы."
Excellent news! I've made some tweaks to the formula to hit a wider spectrum of enemies.,"Отличные новости! Я немного подправил формулу, чтобы она действовала на более широкий спектр врагов."
"Excellent question. We don't know. If I were you, I'd expect the worst. He lost some of his soul back when he was tricked into retreating. Over the years however, he may have grown stronger.","Отличный вопрос. Мы не знаем. На твоем месте я бы готовился к худшему. Он утратил часть своей души, когда его обманом заставили отступить. Однако за прошедшие годы он мог стать сильнее."
"Excellent selection, Legionnaire. I am certain your weapons will strike fear into even the dead hearts of the Ascalonians.","Отличный выбор, легионер. Я уверен, что твое оружие вселит страх даже в мёртвые сердца аскалонцев."
Excellent strategy. That will put these poor creatures out of their misery and let us focus our efforts on Windshear. You're learning fast.,Отличная стратегия. Это избавит бедных созданий от мучений и позволит нам сосредоточиться на Windshear. Ты быстро учишься.
"Excellent timing, Commander!","Отлично подобрали момент, командир!"
"Excellent timing, Commander. I take it you won't need an update, given your participation in recent events.","Отличный тайминг, Коммандир! Полагаю, тебе не нужен брифинг, учитывая твое участие в недавних событиях."
"Excellent timing, Wayfinder. I'm in the heart chamber. We've retired the other vitals and are clearing the last—(static)","Отличный момент, Проводник. Я в камере сердца. Мы отключили остальные жизненно важные системы и зачищаем последние—(помехи)"
"Excellent timing. Help me break out the rest of my krewe, will you?",Отличный момент. Поможешь мне вытащить остальных членов моего отряда?
Excellent work everyone. That overgrown water snake is gone. Return to your tasks.,"Отличная работа, все. Эта переросшая водяная змея повержена. Возвращайтесь к своим делам."
