english,translate
"Great job, %str1%","Отличная работа, %str1%"
Greetings,Приветствую
Greetings and salutations.,Приветствую вас.
Greetings from Zopatl Grounds,Приветствия с земель Zopatl
"Greetings from the land of Guilty Tears. I owe you a debt of gratitude for helping us deal with the grawl camp. The tribe remains unusually organized, but we expect they'll fall apart shortly. Best regards. —Sizza","Приветствия из страны Guilty Tears. Я в долгу перед вами за помощь в борьбе с лагерем grawl. Племя остается необычно организованным, но мы ожидаем, что вскоре они развалятся. С наилучшими пожеланиями."
Greetings from the puppies. They're growing happily and healthily. I think they miss you. They spent a whole afternoon sniffing around for you after you'd gone. Visit again soon.,"Привет от щенков. Они растут счастливыми и здоровыми. Думаю, они скучают по вам. Они провели целый день, вынюхивая вас после того, как вы ушли. Заходите снова в ближайшее время."
"Greetings to you,","Приветствую тебя,"
"Greetings,","Приветствую,"
"Greetings, %str1%. You have pleased Wolf with your fierce determination and the help you have given his pack. Come visit the shrine soon. Wolf has many fraternal gifts to offer you.","Приветствую, %str1%. Вы порадовали Волка своей яростной решимостью и помощью, которую оказали его стае. Загляните в святилище в ближайшее время. У Волка есть много братских даров для вас."
"Greetings, friend,","Приветствую, друг,"
Greetings. Thank you for your help at the moot. Those that should be working have since staggered back. I hope you had a chance to enjoy the festivies festivities for yourself.,"Приветствую. Спасибо за вашу помощь на муте. Те, кто должен был работать, с тех пор пошатываясь вернулись на места. Надеюсь, у вас была возможность насладиться празднествами."
"Hail, friend. The crusaders along the Stromkarl path spoke of your help keeping the local wildlife in check. The ettins may not stay down for long, but any breather for our crew here is much appreaciated.","Приветствую, друг. Крестоносцы на тропе Stromkarl рассказывали о вашей помощи в сдерживании местной фауны. Эттины, может, и не останутся лежать долго, но любая передышка для нашего отряда здесь очень ценится."
"Hand in runestones and unbound energy, run over wisps, use the jackal's Pounce skill on tormented dust devils, and destroy remnants.","Вставьте рунические камни и несвязанную энергию, пробегите по огонькам, используйте навык Прыжок шакала на мучительных пылевых дьяволов и уничтожьте остатки."
Happy Hunting,Удачной охоты
Happy Travels,Счастливого пути
Happy Warthogs,Счастливые бородавочники
Harass the ogres of Foulbear Kraal.,Досаждайте ограм из Логова Гнилого Медведя.
Harmony Restored for Now,Гармония временно восстановлена
Harvest Help,Помощь в сборе урожая
Harvest Time in Sandycove,Время сбора урожая в Sandycove
Having and Making,Иметь и создавать
"Head to the water and clear the lake of toxic sludge and creatures, fend off sharks, and check the fishermen's shrimp traps.","Отправляйся к воде, очисти озеро от токсичной слизи и существ, отбейся от акул и проверь креветочные ловушки рыбаков."
Heading Back to the Range,Возвращение на пастбище
Heartfelt Thanks and Good Luck,Сердечная благодарность и удачи
Hello from Crossroads Haven,Привет из Crossroads Haven
"Hello,","Приветствую,"
"Hello, %str1%,","Привет, %str1%,"
Help,Помощь
Help Adisa collect Slivers of Vlast from veteran Branded.,Помогите Адисе собрать осколки Власта с опытных Проклятых.
Help Admiral Clarinda Demard.,Помогите адмиралу Кларинде Демард.
Help Agent Kaukiri trick the dredge into fighting steam creatures.,"Помогите агенту Каукири обмануть землероев, заставив их сражаться с паровыми существами."
Help Aksim care for and train raptors.,Помогите Аксиму заботиться о рапторах и тренировать их.
Help Albin Chronicler trade with the jotun tribe.,Помогите Альбину Летописцу торговать с племенем ётунов.
Help Ambr's krewe defend the lab.,Помогите команде Амбр защитить лабораторию.
Help Androchus thin out ogres.,Помогите Андроху проредить огров.
Help Antal the Patient impress the skritt in Kolkorensburg.,Помогите Анталу Терпеливому произвести впечатление на скриттов в Колькоренсбурге.
Help Appreciated,Помощь оценена
Help Arcanist Kruppa with destroyers near Pinion Pass.,Помогите арканисту Круппе с разрушителями возле перевала Пинион.
