english,translate
Confusing Images,Confusing Images
Confusing Speech,Confusing Speech
Confusion,Confusion
Conjure Earth Attributes,Conjure Earth Attributes
Conjure Earth Shield,Conjure Earth Shield
Conjure Fiery Greatsword,Conjure Fiery Greatsword
Conjure Fire Attributes,Conjure Fire Attributes
Conjure Flame,Conjure Flame
Conjure Flame Attributes,Conjure Flame Attributes
Conjure Flame Axe,Conjure Flame Axe
Conjure Frost Attributes,Conjure Frost Attributes
Conjure Frost Bow,Conjure Frost Bow
Conjure Lightning Attributes,Conjure Lightning Attributes
Conjure Lightning Hammer,Conjure Lightning Hammer
Conjure a bullet that bounces to nearby enemies. Gain might for each target struck.,"Призовите пулю, которая рикошетит в ближайших врагов. Получайте мощь за каждую пораженную цель."
"Conjure a drill of dark energy on your blade, and rend the armor of foes in front of you.",Призовите бур из тёмной энергии на свой клинок и разорвите броню врагов перед собой.
Conjure a focused volley of arrows to harass your foes.,"Выстрелить сконцентрированным залпом из стрел, которые преследуют противников."
Conjure a magical axe to rake your enemies toward you.,"Сотворить волшебный топор, собирающий вместе противников перед вами."
"Conjure a meteor at the target location, damaging enemies. Enemies at the center of the impact take increased damage.","Призовите метеор в указанную область, нанося урон врагам. Враги в центре удара получают повышенный урон."
Conjure a portal through the Mists and fire barbed arrows to strike from unexpected directions at your enemy.,"Сотворить портал сквозь Туманы и выпустить зазубренные стрелы, которые поражают противника с неожиданных направлений."
Conjure a powerful bow of wind that consumes arrows and generates Wind Force.,"Призвать могущественный лук из ветра, который расходует стрелы и накапливает Силу Ветра."
"Conjure a twister at the target location, making foes vulnerable. Foes in the center of the twister are lifted into the air.","Призовите смерч в указанной области, делая врагов уязвимыми. Враги в центре смерча подбрасываются в воздух."
"Conjure a whirlpool at the target location, pulling enemies in. Enemies at the center of the whirlpool are slowed.","Призовите водоворот в указанной области, притягивающий врагов. Враги в центре водоворота замедляются."
"Conjure claws of darkness from the shadows to attack foes, applying a condition to them and pulling them to you. Gain quickness if you strike a foe and gain life force for each struck foe.","Призовите когти тьмы из теней для атаки врагов, накладывая на них состояние и притягивая их к себе. Получите проворство при попадании по врагу и жизненную силу за каждого пораженного врага."
Conjured Barrier,Conjured Barrier
Conjured Slash,Conjured Slash
Conjured arrows strike your target.,Призванные стрелы поражают вашу цель.
Consecutive attacks cause burning.,Последовательные атаки вызывают горение.
Consecutive attacks grant boons.,Последовательные атаки дают благословения.
Consecutive attacks grant regenerative effects.,Последовательные атаки дают эффекты регенерации.
Construct Aura,Construct Aura
Consume,Consume
Consume Conditions,Consume Conditions
Consume Plasma,Consume Plasma
Consume conditions to gain life force.,"Поглощайте состояния, чтобы получить жизненную силу."
Consume your accumulated astral force to become a celestial avatar.,Использовать накопленную астральную силу и принять форму Небесного аватара.
Consumes All Ammunition,Потребляет все боеприпасы
Consuming Flame,Consuming Flame
Consuming Hatred,Consuming Hatred
Contemplation of Purity,Contemplation of Purity
Continuum Shift,Continuum Shift
Continuum Split,Continuum Split
Controlled Analysis,Controlled Analysis
Coolant Blast,Coolant Blast
Cooling Delay,Задержка охлаждения
Cooling Vapor,Cooling Vapor
Copying Text,Copying Text
Coral Shot,Coral Shot
Core Cleave,Core Cleave
Core Reactor Shot,Core Reactor Shot
Corona Burst,Corona Burst
Corporal Punishment,Corporal Punishment
Corporeal Reassignment,Corporeal Reassignment
Corpse Detonation,Corpse Detonation
Corrosive Poison Cloud,Corrosive Poison Cloud
Corrosive Residue,Corrosive Residue
Corrupt Boon,Corrupt Boon
Corrupt boons from enemies around your target. Inflict torment and gain life force for each condition on your initial target up to the threshold. Gain extra life force for each extra foe struck.,Оскверняет благословения врагов вокруг вашей цели. Накладывает боль и даёт жизненную силу за каждое состояние на вашей начальной цели вплоть до порогового значения. Даёт дополнительную жизненную силу за каждого дополнительного пораженного врага.
Corrupt the Living,Corrupt the Living
"Corrupt the ground under your target; if they remain within the area, they will be knocked down. Grant might to allies near your target based on how many conditions they have.","Испортите землю под вашей целью; если они останутся в области, они будут сбиты с ног. Даруйте мощь союзникам рядом с вашей целью в зависимости от того, сколько состояний на них наложено."
Corrupted Claws,Corrupted Claws
Corrupted Ground,Corrupted Ground
Corrupted Siphon,Corrupted Siphon
Corrupted energy coats the ground.,Осквернённая энергия покрывает землю.
Corruption,Corruption
Cosmic Aura,Cosmic Aura
Cosmic Ray,Cosmic Ray
Cosmic Streaks,Cosmic Streaks
Cosmic Wisdom,Cosmic Wisdom
