english,translate
"Jormag tempts those who seek power. Whispers guide them to Drakkar. Then they are turned, as Svanir was long ago.","Jormag искушает тех, кто ищет власти. Шёпот ведёт их к Drakkar. Затем они превращаются, как Svanir давным-давно."
"Jormag's whispers finally took Rytlock and Crecia, but fortunately I was able to incapacitate them before they did any serious harm. They'll be fine, I think. I hope. Drakkar ran out of hiding places, and Braham finally blasted it with the lost Spirits' power, destroying the beast.","Шёпот Jormag наконец овладел Rytlock и Crecia, но, к счастью, я смог обезвредить их, прежде чем они причинили серьёзный вред. Думаю, с ними все будет в порядке. Надеюсь. Drakkar лишился мест, где можно спрятаться, и Braham наконец поразил его силой утраченных Духов, уничтожив зверя."
"Jory and I have something we want to share with all our dearest friends. Please join us in Divinity's Reach, at the spot where we first met. Don't bring anything but your wonderful self. We're looking forward to seeing you and having this chance to reunite.","У нас с Jory есть кое-что, чем мы хотим поделиться со всеми нашими самыми близкими друзьями. Пожалуйста, присоединяйтесь к нам в Divinity's Reach, там, где мы впервые встретились. Не берите с собой ничего, кроме самих себя. Мы с нетерпением ждем встречи с вами и возможности воссоединиться."
"Jory would approve, eh, Kas? Good-bye, Minister.","Jory бы одобрила, да, Kas? Прощайте, министр."
"Jory, I'm... I don't know about this one. I don't know if we can...if we'll...","Jory, я... я не знаю насчет этого. Не знаю, сможем ли мы... если мы..."
Josir bows to %str1%.,Josir кланяется %str1%.
Journey into Fahranur.,Путешествие в Fahranur.
Journey to Auric Basin to unlock the Exalted Lore Mastery track.,"Путешествие в бассейн Аурик, чтобы открыть ветку мастерства «Знание возвышенных»."
Journey to Tangled Depths to unlock the Nuhoch Lore Mastery track.,"Путешествие в Tangled Depths, чтобы открыть ветку мастерства «Знание нухохов»."
"Journey to the Heart of Maguuma and complete the story step ""Torn from the Sky"" to unlock access to the Gliding Mastery track.",Путешествие в Heart of Maguuma и выполнение шага истории «Вырванный из небес» для открытия доступа к ветке мастерства «Планирование».
Journey to the Ring of Fire,Путешествие к Огненному Кольцу
Journey to the lost asuran city of Rata Novus.,Путешествие в затерянный город асура Rata Novus.
Journeyman Handiworker Crafting and Collection Boxes,Journeyman Handiworker Crafting and Collection Boxes
Jump off the observation platform.,Прыгайте со смотровой площадки.
Jump or use a mount to squash the scarab infestation.,"Прыгайте или используйте маунта, чтобы раздавить нашествие скарабеев."
Jumping Puzzles,Jumping Puzzles
Jungle,Jungle
Jungle Explorer Outfit,Jungle Explorer Outfit
Jungle Heart Tigris,Jungle Heart Tigris
Jungle Melodist,Jungle Melodist
