english,translate
Pass the Trial of Wisdom.,Пройдите Испытание Мудрости.
Pass the egg through the golden beam.,Пронесите яйцо через золотой луч.
Pass through the Bone Wall and enter Joko's Kingdom in the Desolation.,Пройди через Bone Wall и войди в королевство Joko в Desolation.
Pass through the front gate to enter Fahranur.,"Пройдите через главные ворота, чтобы попасть в Fahranur."
Pastel Blue,Пастельно-синий
Pastel Citrus,Пастельно-цитрусовый
Pastel Honey,Пастельно-медовый
Pastel Lavender,Пастельно-лавандовый
Pastel Lemon,Пастельно-лимонный
Pastel Lime,Пастельно-лаймовый
Pastel Mint,Пастельно-мятный
Pastel Olive,Пастельно-оливковый
Pastel Peach,Пастельно-персиковый
Pastel Pink,Пастельно-розовый
Pastel Purple,Пастельно-пурпурный
Pastel Rose,Пастельно-розовый
Pastel Sea,Пастельно-морской
Pastel Spring,Пастельно-весенний
Pastel Violet,Пастельно-фиолетовый
Pastel Wine,Пастельно-винный
Pastel Winter,Пастельно-зимний
Pastkeeper,Хранитель прошлого
Path Cleared,Путь расчищен.
Path of Divinity: Cloister of Stars,Путь божественности: Монастырь звезд
Path of Divinity: Overgrown Thicket,Путь божественности: Заросшая чаща
Path of Divinity: Soaring Sands,Путь божественности: Парящие пески
Path of Fire,Path of Fire
Path of Fire: Act 1,Путь огня: Акт 1
Path of Fire: Act 2,Путь огня: Акт 2
Path of Fire: Act 3,Путь огня: Акт 3
Patina,Патина
Patrick's Encampment,Лагерь Патрика
Paxx's Favorite,Любимец Паксса
Paxx's Right Hand,Правая рука Паксса
Peaceful Shrine Chair,Кресло умиротворяющего святилища
Peacemaker bows to %str1%.,Миротворец кланяется %str1%.
Peach,Персик
Peach Ice,Персиковый лед
Peach Sunset,Персиковый закат
Peach Tint,Персиковый оттенок
Peanut Butter,Арахисовое масло
Peerless Geometer,Несравненный геометр
"Peitha called on me to attend a war council and meet with ""one of Isgarren's pets"" at the Astral Ward's camp in Inner Nayos. The mysterious animal turned out to be Galrath, and as Peitha's war council began, he barked—Isgarren had refused to offer the full support of the Astral Ward in their war against Eparch. Ramses protested, but Galrath reiterated that the ward was still recovering from the Kryptis attack on Amnytas and that Peitha's battle was not the ward's battle. However, the wizard would allow for volunteers to join Peitha at their discretion. With further proof of Peitha's ability to keep the Kryptis out of Tyria, Isgarren could be persuaded to offer the Astral Ward's full support.","Peitha призвала меня на военный совет, чтобы встретиться с «одним из питомцев Isgarren» в лагере Astral Ward в Inner Nayos. Загадочным существом оказался Galrath, и как только совет Peitha начался, он подал голос — Isgarren отказался предоставить полную поддержку Astral Ward в их войне против Eparch. Ramses протестовал, но Galrath повторил, что Ward все ещё оправляется от атаки Kryptis на Amnytas и что битва Peitha — это не их битва. Однако маг разрешил добровольцам присоединиться к Peitha по их собственному усмотрению. Получив дополнительные доказательства способности Peitha удерживать Kryptis подальше от Tyria, Isgarren можно будет убедить предложить полную поддержку Astral Ward."
