english,translate
"<c=@flavor>""Well,' he wasn''t using it anymore."" —Rox</c>'","<c=@flavor>«Ну, он же всё равно не пользовался». — Рокс</c>"
"<c=@flavor>""Who's a good little journeykit?""</c>",<c=@flavor>«Кто тут хороший маленький путешественник?»</c>
<c=@flavor>A concotion likely made by a malevolent alchemist.</c>,"<c=@flavor>Снадобье, вероятно изготовленное злобным алхимиком.</c>"
<c=@flavor>A faint glow emits from this spark.</c>,<c=@flavor>От этой искры исходит слабое свечение.</c>
"<c=@flavor>A gift from the treasuries of the King of All Cats.</c>""","<c=@flavor>Дар из сокровищниц Короля всех кошек.</c>"""
"<c=@flavor>A lot of ways to get this chest, but the portal spikes are still a thorn in my side.</c>","<c=@flavor>Много способов получить этот сундук, но портальные шипы всё ещё заноза в моём боку.</c>"
<c=@flavor>Amira asked you to be careful with these.</c>,<c=@flavor>Амира просила вас быть осторожными с ними.</c>
"<c=@flavor>And just like that,' he''s gone. A bag of his old belongings is all that''s left.</c>'","<c=@flavor>И вот так,' он ушёл. Мешок с его старыми вещами — все, что осталось.</c>'"
<c=@flavor>Be sure to pet the jade behemoth. Who's a good jade behemoth?</c>,<c=@flavor>Обязательно погладьте нефритового бегемота. Кто у нас хороший нефритовый бегемот?</c>
"<c=@flavor>Dear brothers, when will we sing again? I'm beginning to forget our song.</c>","<c=@flavor>Братья мои, когда мы снова запоём? Я начинаю забывать нашу песню.</c>"
<c=@flavor>Did Zojja ever get her tea?</c>,<c=@flavor>Получила ли Зойя свой чай?</c>
"<c=@flavor>Fascinating,' isn''t it? Our newest experimental weapon. Utilizing shadowstone has allowed us to combine two swords into one larger greatsword. A similar feat was previously exclusive to djinn magic.</c>'","<c=@flavor>Захватывающе,' не так ли? Наше новейшее экспериментальное оружие. Использование теневого камня позволило нам объединить два меча в один большой двуручный меч. Ранее подобное достижение было доступно только магии джиннов.</c>'"
"<c=@flavor>For those confused about Mosaic Wrath, try helping out Vanak at the Bastion of Strength.</c>","<c=@flavor>Если вы запутались в «Мозаичном гневе», попробуйте помочь Ванаку в Оплоте Силы.</c>"
"<c=@flavor>From the smallest blade of grass to the largest mountain, where life goes, so too should you.</c>","<c=@flavor>Там сказано: «От самой маленькой травинки до величайшей горы, куда идет жизнь — туда должен идти и ты».</c>"
"<c=@flavor>Gain key fragments by participating in Mad King Says. Only 3 fragments may be earned per day.</c>""","<c=@flavor>Получайте фрагменты ключей, участвуя в игре «Безумный король говорит». Можно заработать не более 3 фрагментов в день.</c>"""
<c=@flavor>Helmet visibility cannot be changed for this outfit.</c>,<c=@flavor>Видимость шлема для этого наряда изменить нельзя.</c>
"<c=@flavor>If something is coming for you, you should seek it out!</c>","<c=@flavor>Если что-то идёт за тобой, иди ему навстречу!</c>"
<c=@flavor>Impulsive choices can cause regret to crystallize.</c>,<c=@flavor>Импульсивные решения могут привести к кристаллизации сожаления.</c>
<c=@flavor>It stinks. Real bad.<c>,<c=@flavor>Воняет. Очень сильно.<c>
"<c=@flavor>It was a true challenge to rely on only gliding back then. But is the commander breaking defiance on the third bite?</c>""","<c=@flavor>Тогда действительно было испытанием полагаться только на планирование. Но ломает ли командир стойкость на третьем укусе?</c>"""
<c=@flavor>It's shaped like a hug.,<c=@flavor>Это по форме напоминает объятие.
<c=@flavor>Maybe you should help out at that octovine instead of standing around.</c>,"<c=@flavor>Может, стоит помочь на октовинограднике вместо того, чтобы стоять без дела?</c>"
<c=@flavor>Must've been the runt of Eparch's wyvern litter.</c>,"<c=@flavor>Должно быть, это был заморыш из выводка виверн Эпарха.</c>"
<c=@flavor>Never leave a wrong to ripen into evil or sorrow.</c>,<c=@flavor>Никогда не позволяй ошибке перерасти в зло или горе.</c>
"<c=@flavor>No tectonic thumper needed to draw these titans out, just a large tasty bloodstone.</c>","<c=@flavor>Чтобы выманить этих титанов, не нужен тектонический трамбовщик, достаточно большого вкусного кровавого камня.</c>"
<c=@flavor>Not fit for consumption.</c>,<c=@flavor>Не пригодно для употребления.</c>
<c=@flavor>Pieces of a sharp blade.<c>,<c=@flavor>Куски острого клинка.<c>
"<c=@flavor>Rage burns and consumes, not unlike a fire.</c>","<c=@flavor>Ярость горит и пожирает, не иначе как огонь.</c>"
"<c=@flavor>Requires a WvW Season One Reward Chest Key to unlock.</c>""","<c=@flavor>Требуется ключ от сундука за награды первого сезона WvW, чтобы открыть.</c>"""
"<c=@flavor>Small and wiggly. Big of hearts.</c>""","<c=@flavor>Маленькая и извивающаяся. С большим сердцем.</c>"""
"<c=@flavor>Soaring outside the door, only the night birds called out a greeting.</c>","<c=@flavor>Пока я парил за дверью, лишь ночные птицы окликали меня.</c>"
"<c=@flavor>Squeezed from the flesh of indigo mushrooms.<c>""","<c=@flavor>Выжато из мякоти индиговых грибов.<c>"""
<c=@flavor>The only lasting peace is the peace within your own soul.</c>,<c=@flavor>Единственный прочный мир — это мир в твоей собственной душе.</c>
"<c=@flavor>The recovered head of this Exalted continues to glow, presumably with consciousness.</c>","<c=@flavor>Найденная голова этого Возвышенного продолжает светиться — предположительно, сознанием.</c>"
<c=@flavor>The scavenger birds of the Mad Realm sang sweetly to welcome their king.</c>,"<c=@flavor>Птицы-падальщики Безумного Царства сладко пели, приветствуя своего короля.</c>"
<c=@flavor>The searing fire of rage bubbles over into a cauldron of contempt.</c>,<c=@flavor>Обжигающий огонь ярости переливается через край в котёл презрения.</c>
<c=@flavor>This accessory is used to craft the legendary accessory Stella Radians.,<c=@flavor>Этот аксессуар используется для создания легендарного аксессуара «Stella Radians».
<c=@flavor>This stone crackles with an inner energy.</c>,<c=@flavor>Этот камень потрескивает от внутренней энергии.</c>
"<c=@flavor>This was earned by prevailing at the highest levels of competition in the Mists.</c>""","<c=@flavor>Добыто за победу на высших уровнях состязаний в Туманных землях.</c>"""
<c=@flavor>This weapon is used to craft the legendary axe Frostfang.,<c=@flavor>Это оружие используется для создания легендарного топора «Frostfang».
<c=@flavor>This weapon is used to craft the legendary dagger Incinerator.,<c=@flavor>Это оружие используется для создания легендарного кинжала «Incinerator».
<c=@flavor>This weapon is used to craft the legendary focus The Minstrel.,<c=@flavor>Это оружие используется для создания легендарного фокуса «The Minstrel».
<c=@flavor>This weapon is used to craft the legendary greatsword Sunrise.,<c=@flavor>Это оружие используется для создания легендарного двуручного меча «Sunrise».
<c=@flavor>This weapon is used to craft the legendary greatsword Twilight.,<c=@flavor>Это оружие используется для создания легендарного двуручного меча «Twilight».
<c=@flavor>This weapon is used to craft the legendary hammer The Juggernaut.,<c=@flavor>Это оружие используется для создания легендарного молота «The Juggernaut».
<c=@flavor>This weapon is used to craft the legendary harpoon gun Frenzy.,<c=@flavor>Это оружие используется для создания легендарного гарпунного ружья «Frenzy».
