english,translate
Unlock a weekly mission slot that will only generate PvE-oriented missions and is unaffected by the guild's mission preference.,"Откройте еженедельный слот миссии, который будет генерировать только миссии PvE-направленности и не зависит от предпочтений гильдии по миссиям."
Unlock a weekly mission slot that will only generate PvP-oriented missions and is unaffected by the guild's mission preference.,"Разблокировать еженедельную ячейку заданий, которая будет генерировать только задания, ориентированные на PvP, и не зависит от предпочтений гильдии."
Unlock a weekly mission slot that will only generate WvW missions and is unaffected by the guild's mission preference.,"Разблокировать еженедельную ячейку заданий, которая будет генерировать только задания WvW и не зависит от предпочтений гильдии."
Ura's Token (Guild Decoration),Ura's Token (Guild Decoration)
Veteran reward for having a completely upgraded guild before Heart of Thorns.,Награда ветеранам за полностью прокачанную гильдию до Heart of Thorns.
Veteran reward for having a partially upgraded guild before Heart of Thorns.,Награда ветеранам за частично улучшенную гильдию до Heart of Thorns.
Veteran reward for having a significantly upgraded guild before Heart of Thorns.,Награда ветеранам за значительное развитие гильдии до Heart of Thorns.
Veteran reward for having an extensively upgraded guild before Heart of Thorns.,Награда ветеранам за полностью развитую гильдию до Heart of Thorns.
Visit the minstrel at the tavern to change the background music of your guild hall to a selection of themes based on Moto's Super Adventure Box.,"Посетите менестреля в таверне, чтобы изменить фоновую музыку в зале гильдии на одну из тем, основанных на «Суперприключенческом сундуке» Мото."
Visit the minstrel at the tavern to change the background music of your guild hall to a selection of themes based on the capitols of Tyria's major nations.,"Посетите менестреля в таверне, чтобы сменить фоновую музыку зала гильдии на подборку тем, основанных на столицах крупных наций Тирии."
Wall (120 x 120),Wall (120 x 120)
Wall (120 x 60),Wall (120 x 60)
Wall (240 x 120),Wall (240 x 120)
Wall (60 x 120),Wall (60 x 120)
Wall Gable 360 x 100,Wall Gable 360 x 100
Wall Gable 360 x 100 Mirror,Wall Gable 360 x 100 Mirror
Wall Gable 720 x 100,Wall Gable 720 x 100
Wall Gable 720 x 200,Wall Gable 720 x 200
Wall Window 120 x 240,Wall Window 120 x 240
War Room Restoration 1,War Room Restoration 1
War Room Restoration 2,War Room Restoration 2
Workshop Restoration 1,Workshop Restoration 1
Workshop Restoration 2,Workshop Restoration 2
WvW Guild Claiming: Camps,WvW Guild Claiming: Camps
WvW Guild Claiming: Keeps,WvW Guild Claiming: Keeps
WvW Guild Claiming: Stonemist Castle,WvW Guild Claiming: Stonemist Castle
WvW Guild Claiming: Towers,WvW Guild Claiming: Towers
WvW Mortar Siege,WvW Mortar Siege
Your guild has claimed the Gilded Hollow and is holding it against recapture by the Elder Dragons.,Ваша гильдия захватила Позолоченную пещеру и удерживает её от повторного захвата Старшими драконами.
Your guild has claimed the Isle of Reflection and is holding it against recapture by the Purists.,Ваша гильдия захватила Остров Размышлений и удерживает его от повторного захвата Пуристами.
Your guild has claimed the Lost Precipice and is holding it against recapture by the Elder Dragons.,Ваша гильдия захватила Потерянный обрыв и удерживает его от повторного захвата Старшими драконами.
Your guild has claimed Windswept Haven and is holding it against recapture by the Mordant Crescent.,Ваша гильдия захватила Ветреное убежище и удерживает его от повторного захвата Mordant Crescent.
