english,translate
The citizens of Nebo Terrace salute you for your help on the battlefront.,Жители Nebo Terrace отдают вам честь за помощь на фронте.
The citizens of Seraph's Landing are safer because of you.,Жителям Seraph's Landing спокойнее благодаря вам.
"The city of Lion's Arch sprawls around you, magnificent and timeless. You've promised to meet a friend here, a member of the once-great adventuring guild Destiny's Edge. What better place than the city of legendary journeys?","Город Lion's Arch раскинулся вокруг — великолепный и вечный. Вы условились встретиться здесь с другом из некогда великой гильдии искателей приключений Destiny's Edge. Что может подойти лучше, чем город легендарных странствий?"
The Claw of Jormag is attacking! Our cannons won't survive this attack. Finish off the elemental or we're done.,"Коготь Jormag атакует! Наши пушки этого не переживут. Добейте элементаля, или нам конец."
The Claw of Jormag is bombarding Frostgorge Sound with corruption.,Коготь Jormag бомбардирует Frostgorge Sound порчей.
The Claw of Jormag's attacking!,Коготь Jormag атакует!
The Claw of Koda,«Коготь Koda»
The Claw's Roost has been captured by United Legions forces.,Claw's Roost захвачен силами Объединённых легионов.
"The clock tower! Good choice. You must be quick on your feet and able to jump. If you reach the top, you'll be rewarded.",Часовая башня! Хороший выбор. Нужны быстрые ноги и умение прыгать. Доберётесь до вершины — получите награду.
The clothes from a Nightmare Court sylvari.,Одежда сильвари из Двора Кошмара.
The cluster of repair golems has been destroyed. The Brand Stomper remains broken.,Группа ремонтных големов уничтожена. «Топтун Клейма» остаётся сломанным.
The commander of the Ascalonian division of the Blood Legion works out of this office.,Из этого кабинета командует глава аскалонского подразделения Кровавого легиона.
"The commander of the Blood Legion in Ascalon works out of this office, balancing with the Ash Legion to power of the Iron Legion Imperator.","Из этого кабинета командует глава Кровавого легиона в Ascalon, уравновешивая вместе с Пепельным легионом власть императора Железного легиона."
The Commons Events,События в Commons
The Complete Collection of Mad Memoires!,Полное собрание «Безумных мемуаров»!
The Complex,«Комплекс»
"The confessor left last week. Took everyone with him except a few of us. Tatyanna would cut her own arm off and eat it if made him happy, so she's elated to see Caudecus's mission in Janthir to the end. Left Judge with us, too, but I'm worried he did that because the kid's a crappy cook. Too scared to kill a rabbit, so I guess we're eating potatoes until I can get out and hunt for us myself. They didn't leave us with much, but we wouldn't be on this path if it wasn't the right one.    Caudecus wants us to keep looking for the city, but we can't cross to the other isles without a headache or nosebleed. We're also dealing with some unwanted guests; didn't realize there were kodan in these parts. We've managed to stay out of sight, at least. Looks like some type of hunting party, so I'm not too worried about it, but we'll stay out of their way. Judge saw them row inland. Probably live somewhere on the mainland.    Gonna lay low until they leave. We'll make our next arrangements after and see if we can get around whatever curse is keeping us from moving further in.","Исповедник ушёл на прошлой неделе. Забрал всех, кроме нескольких из нас. Tatyanna отрезала бы себе руку и съела её, если бы это его порадовало, — так что она в восторге довести миссию Caudecus в Janthir до конца. Judge тоже оставили с нами, но боюсь, это потому, что парень скверный повар. Слишком труслив, чтобы убить кролика, так что, видно, будем есть картошку, пока я сам не выберусь на охоту. Оставили нам немного, но мы не шли бы этим путём, не будь он верным.    Caudecus хочет, чтобы мы продолжали искать город, но мы не можем перебраться на другие острова без головной боли или носового кровотечения. Вдобавок у нас незваные гости: не знал, что в этих краях есть кодан. По крайней мере, нам удаётся не попадаться на глаза. Похоже на охотничий отряд, так что я не слишком волнуюсь, но держаться будем подальше. Judge видел, как они гребли вглубь. Наверное, живут где-то на большой земле.    Заляжем, пока не уйдут. Потом договоримся о дальнейшем и посмотрим, как обойти проклятие, что не пускает нас дальше."
The conjured doorway has expired.,Сотворённый проход исчез.
The conjured doorway to your story instance has been removed.,Сотворённый проход в ваш сюжетный инстанс убран.
The connection attempt failed. Would you like to reattempt the connection?,Попытка подключения не удалась. Попробовать снова?
The Consortium,Консорциум
The Consortium contracts are destroyed and the settlers are free!,"Контракты Консорциума уничтожены, поселенцы свободны!"
"The Consortium has taken notice of your valiant effort to rebuild the Shadowstone! However, you are being led astray by misinformed Priory agents. The Priory is simply lacking the resources to fund its researchers and scholars. Please speak to our representative, Tradesman Maezz, before you hand over such a valuable artifact.","Консорциум заметил ваши доблестные усилия по восстановлению Теневого камня! Однако вас сбивают с пути дезинформированные агенты Приората. Приорату попросту не хватает средств на содержание своих исследователей и учёных. Прежде чем отдавать столь ценный артефакт, поговорите с нашим представителем — торговцем Maezz."
