english,translate
Recipe[s]: Chiaroscuro Hammers,[Рецепт|Рецепта|Рецептов]: молоты Кьяроскуро
Recipe[s]: Chiaroscuro Longbows,[Рецепт|Рецепта|Рецептов]: длинные луки Кьяроскуро
Recipe[s]: Chiaroscuro Maces,[Рецепт|Рецепта|Рецептов]: булавы Кьяроскуро
Recipe[s]: Chiaroscuro Pistols,[Рецепт|Рецепта|Рецептов]: пистолеты Кьяроскуро
Recipe[s]: Chiaroscuro Rifles,[Рецепт|Рецепта|Рецептов]: винтовки киароскуро
Recipe[s]: Chiaroscuro Scepters,[Рецепт|Рецепта|Рецептов]: скипетры Кьяроскуро
Recipe[s]: Chiaroscuro Shields,[Рецепт|Рецепта|Рецептов]: щиты Кьяроскуро
Recipe[s]: Chiaroscuro Short Bows,[Рецепт|Рецепта|Рецептов]: короткие луки «Кьяроскуро»
Recipe[s]: Chiaroscuro Staffs,[Рецепт|Рецепта|Рецептов]: чиароскуро посохи
Recipe[s]: Chiaroscuro Swords,[Рецепт|Рецепта|Рецептов]: чиароскуро мечи
Recipe[s]: Chiaroscuro Torches,[Рецепт|Рецепта|Рецептов]: факелы Кьяроскуро
Recipe[s]: Chiaroscuro Warhorns,[Рецепт|Рецепта|Рецептов]: чиароскуро боевого рога
Recipe[s]: Chieftan's Mace,[Рецепт|Рецепта|Рецептов]: булава Вождя
Recipe[s]: Chloroblaster (Level 71),[Рецепт|Рецепта|Рецептов]: хлоробластер (71-го уровня)
Recipe[s]: Chorben's Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Хорбена
Recipe[s]: Chorben's Bastion,[Рецепт|Рецепта|Рецептов]: бастион Хорбена
Recipe[s]: Chorben's Blade,[Рецепт|Рецепта|Рецептов]: клинок Хорбена
Recipe[s]: Chorben's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Хорбена
Recipe[s]: Chorben's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Хорбена
Recipe[s]: Chorben's Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевая булава Хорбена
Recipe[s]: Chorben's Greatbow,[Рецепт|Рецепта|Рецептов]: большой лук Хорбена
Recipe[s]: Chorben's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Хорбена
Recipe[s]: Chorben's Herald,[Рецепт|Рецепта|Рецептов]: глашатай Хорбена
Recipe[s]: Chorben's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Хорбена
Recipe[s]: Chorben's Musket,[Рецепт|Рецепта|Рецептов]: мушкет Хорбена
Recipe[s]: Chorben's Razor,[Рецепт|Рецепта|Рецептов]: бритва Хорбена
Recipe[s]: Chorben's Reaver,[Рецепт|Рецепта|Рецептов]: жнец Хорбена
Recipe[s]: Chorben's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Хорбена
Recipe[s]: Chorben's Short Bow,[Рецепт|Рецепта|Рецептов]: короткий лук Хорбена
Recipe[s]: Chorben's Soldier Inscription,[Рецепт|Рецепта|Рецептов]: гравировка солдата Хорбена
Recipe[s]: Chorben's Spire,[Рецепт|Рецепта|Рецептов]: шпиль Хорбена
Recipe[s]: Chorben's Trident,[Рецепт|Рецепта|Рецептов]: трезубец Хорбена
Recipe[s]: Chorben's Wand,[Рецепт|Рецепта|Рецептов]: жезл Хорбена
Recipe[s]: Chorben's Warhammer,[Рецепт|Рецепта|Рецептов]: боевой молот Хорбена
Recipe[s]: Clarion Clasps (Level 55),[Рецепт|Рецепта|Рецептов]: застежки «Кларион» (Ур. 55)
Recipe[s]: Clark's Chukkas (Level 71),[Рецепт|Рецепта|Рецептов]: чукки Кларка (Ур. 71)
Recipe[s]: Claw of Execution,[Рецепт|Рецепта|Рецептов]: коготь Казни
Recipe[s]: Claw of Resolution,[Рецепт|Рецепта|Рецептов]: коготь Решимости
