english,translate
Recipe[s]: Verata's Bastion,[Рецепт|Рецепта|Рецептов]: бастион Вераты
Recipe[s]: Verata's Blade,[Рецепт|Рецепта|Рецептов]: клинок Вераты
Recipe[s]: Verata's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Вераты
Recipe[s]: Verata's Breastplate,[Рецепт|Рецепта|Рецептов]: нагрудник Вераты
Recipe[s]: Verata's Breeches,[Рецепт|Рецепта|Рецептов]: бриджи Вераты
Recipe[s]: Verata's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Вераты
Recipe[s]: Verata's Cloth Breather,[Рецепт|Рецепта|Рецептов]: тканевая дыхательная маска Вераты
Recipe[s]: Verata's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Вераты
Recipe[s]: Verata's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Вераты
Recipe[s]: Verata's Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевая булава Вераты
Recipe[s]: Verata's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Вераты
Recipe[s]: Verata's Greatbow,[Рецепт|Рецепта|Рецептов]: большой лук Вераты
Recipe[s]: Verata's Greaves,[Рецепт|Рецепта|Рецептов]: наголенники Вераты
Recipe[s]: Verata's Grips,[Рецепт|Рецепта|Рецептов]: перчатки Вераты
Recipe[s]: Verata's Guise,[Рецепт|Рецепта|Рецептов]: облик Вераты
Recipe[s]: Verata's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Вераты
Recipe[s]: Verata's Herald,[Рецепт|Рецепта|Рецептов]: глашатай Вераты
Recipe[s]: Verata's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Вераты
Recipe[s]: Verata's Leather Breather,[Рецепт|Рецепта|Рецептов]: кожаная дыхательная маска Вераты
Recipe[s]: Verata's Leggings,[Рецепт|Рецепта|Рецептов]: поножи Вераты
Recipe[s]: Verata's Masque,[Рецепт|Рецепта|Рецептов]: маска Вераты
Recipe[s]: Verata's Metal Breather,[Рецепт|Рецепта|Рецептов]: металлическая дыхательная маска Вераты
Recipe[s]: Verata's Musket,[Рецепт|Рецепта|Рецептов]: мушкет Вераты
Recipe[s]: Verata's Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники Вераты
Recipe[s]: Verata's Razor,[Рецепт|Рецепта|Рецептов]: бритва Вераты
Recipe[s]: Verata's Reaver,[Рецепт|Рецепта|Рецептов]: жнец Вераты
Recipe[s]: Verata's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Вераты
Recipe[s]: Verata's Short Bow,[Рецепт|Рецепта|Рецептов]: короткий лук Вераты
Recipe[s]: Verata's Shoulderguard,[Рецепт|Рецепта|Рецептов]: оплечье Вераты
Recipe[s]: Verata's Sinister Inscription,[Рецепт|Рецепта|Рецептов]: зловещая гравировка Вераты
Recipe[s]: Verata's Sinister Insignia,[Рецепт|Рецепта|Рецептов]: зловещая инсигния Вераты
Recipe[s]: Verata's Spire,[Рецепт|Рецепта|Рецептов]: шпиль Вераты
Recipe[s]: Verata's Striders,[Рецепт|Рецепта|Рецептов]: скороходы Вераты
Recipe[s]: Verata's Tassets,[Рецепт|Рецепта|Рецептов]: набедренники Вераты
Recipe[s]: Verata's Trident,[Рецепт|Рецепта|Рецептов]: трезубец Вераты
Recipe[s]: Verata's Visage,[Рецепт|Рецепта|Рецептов]: лик Вераты
Recipe[s]: Verata's Visor,[Рецепт|Рецепта|Рецептов]: забрало Вераты
Recipe[s]: Verata's Wand,[Рецепт|Рецепта|Рецептов]: жезл Вераты
Recipe[s]: Verata's Warfists,[Рецепт|Рецепта|Рецептов]: боевые рукавицы Вераты
Recipe[s]: Verata's Warhammer,[Рецепт|Рецепта|Рецептов]: боевой молот Вераты
Recipe[s]: Verata's Wristguards,[Рецепт|Рецепта|Рецептов]: наручи Вераты
Recipe[s]: Verteth Edge (Level 71),[Рецепт|Рецепта|Рецептов]: Грань Вертета (уровень 71)
Recipe[s]: Vesper Vest (Level 55),[Рецепт|Рецепта|Рецептов]: жилет «Веспер» (уровень 55)
Recipe[s]: Vial of Quicksilver,[Рецепт|Рецепта|Рецептов]: склянка ртути
Recipe[s]: Vigilant Intricate Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния бдительного из паутинки
Recipe[s]: Vigilant Orichalcum Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная орихалковая гравировка бдительного
