english,translate
Recipe[s]: Gift of Music,[Рецепт|Рецепта|Рецептов]: Дар музыки
Recipe[s]: Gift of Nature,[Рецепт|Рецепта|Рецептов]: Дар природы
Recipe[s]: Gift of Scales,[Рецепт|Рецепта|Рецептов]: Дар чешуи
Recipe[s]: Gift of Stealth,[Рецепт|Рецепта|Рецептов]: Дар скрытности
Recipe[s]: Gift of the Fractals,[Рецепт|Рецепта|Рецептов]: Дар фракталов
Recipe[s]: Gift of Totems,[Рецепт|Рецепта|Рецептов]: Дар тотемов
Recipe[s]: Gift of Venom,[Рецепт|Рецепта|Рецептов]: Дар яда
Recipe[s]: Gift of Water,[Рецепт|Рецепта|Рецептов]: Дар воды
Recipe[s]: Gift of Weather,[Рецепт|Рецепта|Рецептов]: Дар погоды
Recipe[s]: Gift of Wood,[Рецепт|Рецепта|Рецептов]: Дар дерева
Recipe[s]: Giftbringer's Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Дарителя
Recipe[s]: Giftbringer's Bastion,[Рецепт|Рецепта|Рецептов]: бастион Дарителя
Recipe[s]: Giftbringer's Blade,[Рецепт|Рецепта|Рецептов]: клинок Дарителя
Recipe[s]: Giftbringer's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Дарителя
Recipe[s]: Giftbringer's Breastplate,[Рецепт|Рецепта|Рецептов]: нагрудник Дарителя
Recipe[s]: Giftbringer's Breeches,[Рецепт|Рецепта|Рецептов]: бриджи Дарителя
Recipe[s]: Giftbringer's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Дарителя
Recipe[s]: Giftbringer's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Дарителя
Recipe[s]: Giftbringer's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Дарителя
Recipe[s]: Giftbringer's Flanged Mace,[Рецепт|Рецепта|Рецептов]: фланцевая булава Дарителя
Recipe[s]: Giftbringer's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Дарителя
Recipe[s]: Giftbringer's Greatbow,[Рецепт|Рецепта|Рецептов]: большой лук Дарителя
Recipe[s]: Giftbringer's Greaves,[Рецепт|Рецепта|Рецептов]: наголенники Дарителя
Recipe[s]: Giftbringer's Grips,[Рецепт|Рецепта|Рецептов]: перчатки Дарителя
Recipe[s]: Giftbringer's Guise,[Рецепт|Рецепта|Рецептов]: облик Дарителя
Recipe[s]: Giftbringer's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Дарителя
Recipe[s]: Giftbringer's Herald,[Рецепт|Рецепта|Рецептов]: глашатай Дарителя
Recipe[s]: Giftbringer's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Дарителя
Recipe[s]: Giftbringer's Inscription,[Рецепт|Рецепта|Рецептов]: гравировка Дарителя
Recipe[s]: Giftbringer's Insignia,[Рецепт|Рецепта|Рецептов]: инсигния Дарителя
Recipe[s]: Giftbringer's Leggings,[Рецепт|Рецепта|Рецептов]: поножи Дарителя
Recipe[s]: Giftbringer's Masque,[Рецепт|Рецепта|Рецептов]: маска Дарителя
Recipe[s]: Giftbringer's Musket,[Рецепт|Рецепта|Рецептов]: мушкет Дарителя
Recipe[s]: Giftbringer's Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники Дарителя
Recipe[s]: Giftbringer's Razor,[Рецепт|Рецепта|Рецептов]: бритва Дарителя
Recipe[s]: Giftbringer's Reaver,[Рецепт|Рецепта|Рецептов]: жнец Дарителя
Recipe[s]: Giftbringer's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Дарителя
Recipe[s]: Giftbringer's Short Bow,[Рецепт|Рецепта|Рецептов]: короткий лук Дарителя
Recipe[s]: Giftbringer's Shoulderguard,[Рецепт|Рецепта|Рецептов]: оплечье Дарителя
Recipe[s]: Giftbringer's Spire,[Рецепт|Рецепта|Рецептов]: шпиль Дарителя
Recipe[s]: Giftbringer's Striders,[Рецепт|Рецепта|Рецептов]: скороходы Дарителя
Recipe[s]: Giftbringer's Tassets,[Рецепт|Рецепта|Рецептов]: набедренники Дарителя
Recipe[s]: Giftbringer's Trident,[Рецепт|Рецепта|Рецептов]: трезубец Дарителя
Recipe[s]: Giftbringer's Visage,[Рецепт|Рецепта|Рецептов]: лик Дарителя
Recipe[s]: Giftbringer's Visor,[Рецепт|Рецепта|Рецептов]: забрало Дарителя
Recipe[s]: Giftbringer's Wand,[Рецепт|Рецепта|Рецептов]: жезл Дарителя
Recipe[s]: Giftbringer's Warfists,[Рецепт|Рецепта|Рецептов]: боевые рукавицы Дарителя
Recipe[s]: Giftbringer's Warhammer,[Рецепт|Рецепта|Рецептов]: боевой молот Дарителя
Recipe[s]: Giftbringer's Wristguards,[Рецепт|Рецепта|Рецептов]: наручи Дарителя
Recipe[s]: Gilded Lamp,[Рецепт|Рецепта|Рецептов]: Позолоченная лампа
Recipe[s]: Giver's Darksteel Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная гравировка дарителя из тёмной стали
Recipe[s]: Giver's Intricate Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: инсигния дарителя из замысловатой паутины
Recipe[s]: Giver's Intricate Linen Insignia,[Рецепт|Рецепта|Рецептов]: инсигния дарителя из замысловатого льна
Recipe[s]: Giver's Intricate Silk Insignia,[Рецепт|Рецепта|Рецептов]: инсигния дарителя из замысловатого шёлка
Recipe[s]: Giver's Mithril Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная мифриловая гравировка дарителя
Recipe[s]: Giver's Orichalcum-Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная орихалковая гравировка дарителя
Recipe[s]: Glacial Imbued Jar,[Рецепт|Рецепта|Рецептов]: Ледяная пропитанная банка
Recipe[s]: Glazed Peach Tart,[Рецепт|Рецепта|Рецептов]: глазированный персиковый тарт
Recipe[s]: Glazed Pear Tart,[Рецепт|Рецепта|Рецептов]: глазированный грушевый тарт
Recipe[s]: Glimmering Resin Axe,[Рецепт|Рецепта|Рецептов]: топор мерцающей смолы
Recipe[s]: Glimmering Resin Dagger,[Рецепт|Рецепта|Рецептов]: кинжал мерцающей смолы
Recipe[s]: Glimmering Resin Focus,[Рецепт|Рецепта|Рецептов]: Фокус мерцающей смолы
Recipe[s]: Glimmering Resin Greatsword,[Рецепт|Рецепта|Рецептов]: Двуручный меч мерцающей смолы
Recipe[s]: Glimmering Resin Hammer,[Рецепт|Рецепта|Рецептов]: Молот мерцающей смолы
Recipe[s]: Glimmering Resin Longbow,[Рецепт|Рецепта|Рецептов]: длинный лук мерцающей смолы
Recipe[s]: Glimmering Resin Mace,[Рецепт|Рецепта|Рецептов]: булава мерцающей смолы
Recipe[s]: Glimmering Resin Pistol,[Рецепт|Рецепта|Рецептов]: пистолет мерцающей смолы
Recipe[s]: Glimmering Resin Rifle,[Рецепт|Рецепта|Рецептов]: винтовка мерцающей смолы
Recipe[s]: Glimmering Resin Scepter,[Рецепт|Рецепта|Рецептов]: Скипетр мерцающей смолы
Recipe[s]: Glimmering Resin Shield,[Рецепт|Рецепта|Рецептов]: Щит мерцающей смолы
Recipe[s]: Glimmering Resin Short Bow,[Рецепт|Рецепта|Рецептов]: Короткий лук мерцающей смолы
Recipe[s]: Glimmering Resin Spear,[Рецепт|Рецепта|Рецептов]: Копьё мерцающей смолы
Recipe[s]: Glimmering Resin Staff,[Рецепт|Рецепта|Рецептов]: Посох мерцающей смолы
Recipe[s]: Glimmering Resin Sword,[Рецепт|Рецепта|Рецептов]: Меч мерцающей смолы
Recipe[s]: Glimmering Resin Torch,[Рецепт|Рецепта|Рецептов]: мерцающий смоляной факел
Recipe[s]: Glimmering Resin Warhorn,[Рецепт|Рецепта|Рецептов]: мерцающий смоляной боевой рог
Recipe[s]: Gloominator,[Рецепт|Рецепта|Рецептов]: глуминатор
Recipe[s]: Gobrech's Breastplate,[Рецепт|Рецепта|Рецептов]: нагрудник Гобреха
Recipe[s]: Gobrech's Breeches,[Рецепт|Рецепта|Рецептов]: бриджи Гобреха
Recipe[s]: Gobrech's Cloth Breather,[Рецепт|Рецепта|Рецептов]: тканевая дыхательная маска Гобреха
Recipe[s]: Gobrech's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Гобреха
Recipe[s]: Gobrech's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Гобреха
Recipe[s]: Gobrech's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Гобреха
Recipe[s]: Gobrech's Greaves,[Рецепт|Рецепта|Рецептов]: наголенники Гобреха
Recipe[s]: Gobrech's Grips,[Рецепт|Рецепта|Рецептов]: перчатки Гобреха
Recipe[s]: Gobrech's Guise,[Рецепт|Рецепта|Рецептов]: облик Гобреха
Recipe[s]: Gobrech's Leather Breather,[Рецепт|Рецепта|Рецептов]: кожаная дыхательная маска Гобреха
Recipe[s]: Gobrech's Leggings,[Рецепт|Рецепта|Рецептов]: поножи Гобреха
Recipe[s]: Gobrech's Masque,[Рецепт|Рецепта|Рецептов]: маска Гобреха
Recipe[s]: Gobrech's Metal Breather,[Рецепт|Рецепта|Рецептов]: металлическая дыхательная маска Гобреха
Recipe[s]: Gobrech's Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники Гобреха
Recipe[s]: Gobrech's Shoulderguard,[Рецепт|Рецепта|Рецептов]: оплечье Гобреха
Recipe[s]: Gobrech's Striders,[Рецепт|Рецепта|Рецептов]: скороходы Гобреха
Recipe[s]: Gobrech's Tassets,[Рецепт|Рецепта|Рецептов]: набедренники Гобреха
Recipe[s]: Gobrech's Valkyrie Insignia,[Рецепт|Рецепта|Рецептов]: инсигния валькирии Гобреха
Recipe[s]: Gobrech's Visage,[Рецепт|Рецепта|Рецептов]: лик Гобреха
Recipe[s]: Gobrech's Visor,[Рецепт|Рецепта|Рецептов]: забрало Гобреха
Recipe[s]: Gobrech's Warfists,[Рецепт|Рецепта|Рецептов]: боевые рукавицы Гобреха
Recipe[s]: Gobrech's Wristguards,[Рецепт|Рецепта|Рецептов]: наручи Гобреха
Recipe[s]: Godskull Brazier,[Рецепт|Рецепта|Рецептов]: жаровня черепа бога
Recipe[s]: Godskull Cesta,[Рецепт|Рецепта|Рецептов]: Цеста черепа бога
Recipe[s]: Godskull Crosier,[Рецепт|Рецепта|Рецептов]: Посох черепа бога
Recipe[s]: Godskull Crusher,[Рецепт|Рецепта|Рецептов]: дробитель черепа бога
Recipe[s]: Godskull Edge,[Рецепт|Рецепта|Рецептов]: Лезвие черепа бога
Recipe[s]: Godskull Effigy,[Рецепт|Рецепта|Рецептов]: Идол из черепа бога
Recipe[s]: Godskull Flintlock,[Рецепт|Рецепта|Рецептов]: кремневое ружьё из черепа бога
Recipe[s]: Godskull Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпун из черепа бога
Recipe[s]: Godskull Impaler,[Рецепт|Рецепта|Рецептов]: Копьё из черепа бога
Recipe[s]: Godskull Kris,[Рецепт|Рецепта|Рецептов]: Крис из черепа бога
Recipe[s]: Godskull Longbow,[Рецепт|Рецепта|Рецептов]: длинный лук из черепа бога
Recipe[s]: Godskull Musket,[Рецепт|Рецепта|Рецептов]: мушкет из черепа бога
Recipe[s]: Godskull Short Bow,[Рецепт|Рецепта|Рецептов]: Короткий лук из черепа бога
Recipe[s]: Godskull Sickle,[Рецепт|Рецепта|Рецептов]: серп из черепа бога
Recipe[s]: Godskull Slayer,[Рецепт|Рецепта|Рецептов]: Убийца из черепа бога
Recipe[s]: Godskull Targe,[Рецепт|Рецепта|Рецептов]: тардж из черепа бога
Recipe[s]: Godskull Trihorn,[Рецепт|Рецепта|Рецептов]: трирог из черепа бога
Recipe[s]: Godskull Trumpet,[Рецепт|Рецепта|Рецептов]: труба из черепа бога
Recipe[s]: Godskull Warclub,[Рецепт|Рецепта|Рецептов]: Боевая дубина из черепа бога
Recipe[s]: Gold Cairn the Indomitable Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей Неукротимого Кайрна
Recipe[s]: Gold Cardinal Adina Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей кардинала Адины
Recipe[s]: Gold Cardinal Sabir Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей кардинала Сабира
Recipe[s]: Gold Chak Gerent Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей чак-герента
Recipe[s]: Gold Conjured Amalgamate Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей призванного амальгамата
Recipe[s]: Gold Decima Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей Децимы
Recipe[s]: Gold Deimos Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей Деймоса
Recipe[s]: Gold Desmina Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей Десмины
Recipe[s]: Gold Dhuum Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей Дуума
Recipe[s]: Gold Ether Djinn Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей эфирного джинна
Recipe[s]: Gold Gorseval Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей Горсевала
Recipe[s]: Gold Greer Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей Грира
Recipe[s]: Gold Keep Construct Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей Конструкта крепости
Recipe[s]: Gold Mordremoth Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей Мордремота
Recipe[s]: Gold Mursaat Overseer Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей Надзирателя мурсаатов
Recipe[s]: Gold Qadim Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей Кадима
Recipe[s]: Gold River of Souls Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей Реки Душ
Recipe[s]: Gold Sabetha Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей Сабеты
Recipe[s]: Gold Samarog Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей Самарога
Recipe[s]: Gold Shatterer Trophy,[Рецепт|Рецепта|Рецептов]: золотой трофей Разрушителя
