english,translate
Recipe[s]: Lightborne Shield,[Рецепт|Рецепта|Рецептов]: светорождённый щит
Recipe[s]: Lightborne Short Bow,[Рецепт|Рецепта|Рецептов]: светорождённый короткий лук
Recipe[s]: Lightborne Spear,[Рецепт|Рецепта|Рецептов]: светорождённое копьё
Recipe[s]: Lightborne Staff,[Рецепт|Рецепта|Рецептов]: светорождённый посох
Recipe[s]: Lightborne Sword,[Рецепт|Рецепта|Рецептов]: светорождённый меч
Recipe[s]: Lightborne Torch,[Рецепт|Рецепта|Рецептов]: светорождённый факел
Recipe[s]: Lightborne Warhorn,[Рецепт|Рецепта|Рецептов]: светорождённый боевой рог
Recipe[s]: Lightning Aspect Crystal,[Рецепт|Рецепта|Рецептов]: кристалл молнии аспекта
Recipe[s]: Liquid Flame,[Рецепт|Рецепта|Рецептов]: Живой огонь
Recipe[s]: Liturgy,[Рецепт|Рецепта|Рецептов]: литургия
Recipe[s]: Longbow,[Рецепт|Рецепта|Рецептов]: длинный лук
Recipe[s]: Longevity Noodles,[Рецепт|Рецепта|Рецептов]: лапша долголетия
Recipe[s]: Loyalty,[Рецепт|Рецепта|Рецептов]: верность
Recipe[s]: Lunatic Acolyte Boots,[Рецепт|Рецепта|Рецептов]: сапоги безумного аколита
Recipe[s]: Lunatic Acolyte Coat,[Рецепт|Рецепта|Рецептов]: куртка безумного аколита
Recipe[s]: Lunatic Acolyte Gloves,[Рецепт|Рецепта|Рецептов]: перчатки безумного аколита
Recipe[s]: Lunatic Acolyte Mantle,[Рецепт|Рецепта|Рецептов]: наплечье безумного аколита
Recipe[s]: Lunatic Acolyte Mask,[Рецепт|Рецепта|Рецептов]: маска безумного аколита
Recipe[s]: Lunatic Acolyte Pants,[Рецепт|Рецепта|Рецептов]: Штаны безумного аколита
Recipe[s]: Lunatic Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: Безумная инсигния из паутины
Recipe[s]: Lunatic Noble Boots,[Рецепт|Рецепта|Рецептов]: сапоги безумного дворянина
